Subject	Trial	Event Type	Code	trial_boolean(num)	condition_code(num)	condition_label(str)	Time	TTime	Uncertainty...10	Duration	Uncertainty...12	ReqTime	ReqDur	Stim Type	Pair Index
20113	1	Picture	0;11;localize	0	11	localize	161	0	1	299671	7	0	next	other	0
20113	1	Response	0	n/a	n/a	n/a	299500	299339	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	2	Picture	0;111;blockstart	0	111	blockstart	299831	0	7	167	7	0	next	other	0
20113	3	Picture	block_tar_pic	block_tar_pic	n/a	n/a	299998	0	1	51667	1	0	next	other	0
20113	3	Sound	block_tar_sound	block_tar_sound	n/a	n/a	300030	32	281	n/a	n/a	0	n/a	other	0
20113	5	Picture	trial_start	trial_start	n/a	n/a	356832	0	1	2667	7	0	next	other	0
20113	5	Sound	1; 45; C; sounds//prize.wav	1	45	C	357502	670	2	n/a	n/a	670	n/a	hit	9
20113	5	Picture	1; 40; C; pictures//nontarget//trophy.jpg	1	40	C	359499	2667	7	23167	7	2580	next	miss	0
20113	5	Response	21	n/a	n/a	n/a	372834	16002	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	7	Picture	trial_start	trial_start	n/a	n/a	387833	0	1	667	7	0	next	other	0
20113	7	Picture	2; 10; UN_0; pictures//target//hanger.jpg	2	10	UN_0	388499	667	7	24834	7	580	next	miss	0
20113	7	Sound	2; 0; UN_0; sounds//refuge.wav	2	0	UN_0	388503	670	2	n/a	n/a	670	n/a	hit	13
20113	7	Response	11	n/a	n/a	n/a	397645	9813	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	9	Picture	trial_start	trial_start	n/a	n/a	418499	0	1	2667	7	0	next	other	0
20113	9	Sound	3; 25; UN_200; sounds//nature.wav	3	25	UN_200	419169	670	2	n/a	n/a	670	n/a	hit	17
20113	9	Picture	3; 20; UN_200; pictures//nontarget//horseshoe.png	3	20	UN_200	421166	2667	7	23500	7	2580	next	miss	0
20113	9	Response	21	n/a	n/a	n/a	440024	21524	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	11	Picture	trial_start	trial_start	n/a	n/a	449833	0	1	667	7	0	next	other	0
20113	11	Picture	4; 50; No; pictures//target//mirror.jpeg	4	50	No	450500	667	7	26334	7	580	next	miss	0
20113	11	Sound	4; 0; No; sounds//empty.wav	4	0	No	450503	670	2	n/a	n/a	670	n/a	hit	21
20113	11	Response	11	n/a	n/a	n/a	458473	8640	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	13	Picture	trial_start	trial_start	n/a	n/a	482000	0	1	667	7	0	next	other	0
20113	13	Picture	5; 10; UN_0; pictures//nontarget//tree.jpg	5	10	UN_0	482667	667	7	25834	7	580	next	miss	0
20113	13	Sound	5; 0; UN_0; sounds//opera.wav	5	0	UN_0	482670	670	2	n/a	n/a	670	n/a	hit	25
20113	13	Response	21	n/a	n/a	n/a	494112	12112	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	15	Picture	trial_start	trial_start	n/a	n/a	513668	0	1	2667	7	0	next	other	0
20113	15	Sound	6; 45; C; sounds//melon.wav	6	45	C	514338	670	2	n/a	n/a	670	n/a	hit	29
20113	15	Picture	6; 40; C; pictures//target//cucumber.jpg	6	40	C	516334	2667	7	23834	7	2580	next	miss	0
20113	15	Response	11	n/a	n/a	n/a	525724	12056	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	17	Picture	trial_start	trial_start	n/a	n/a	545335	0	1	667	7	0	next	other	0
20113	17	Picture	7; 10; UN_0; pictures//nontarget//broom.jpg	7	10	UN_0	546001	667	7	25000	7	580	next	miss	0
20113	17	Sound	7; 0; UN_0; sounds//zombie.wav	7	0	UN_0	546005	670	2	n/a	n/a	670	n/a	hit	33
20113	17	Response	21	n/a	n/a	n/a	558482	13147	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	19	Picture	trial_start	trial_start	n/a	n/a	576168	0	1	667	7	0	next	other	0
20113	19	Picture	8; 30; P; pictures//nontarget//jeep.jpg	8	30	P	576835	667	7	24834	7	580	next	miss	0
20113	19	Sound	8; 0; P; sounds//genius.wav	8	0	P	576838	670	2	n/a	n/a	670	n/a	hit	37
20113	19	Response	21	n/a	n/a	n/a	593870	17702	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	21	Picture	trial_start	trial_start	n/a	n/a	606835	0	1	667	7	0	next	other	0
20113	21	Picture	9; 50; No; pictures//nontarget//needle.jpeg	9	50	No	607502	667	7	26167	7	580	next	miss	0
20113	21	Sound	9; 0; No; sounds//empty.wav	9	0	No	607506	671	2	n/a	n/a	670	n/a	hit	41
20113	21	Response	21	n/a	n/a	n/a	623271	16436	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	23	Picture	trial_start	trial_start	n/a	n/a	638836	0	1	2667	7	0	next	other	0
20113	23	Sound	10; 25; UN_200; sounds//intention.wav	10	25	UN_200	639506	670	2	n/a	n/a	670	n/a	hit	45
20113	23	Picture	10; 20; UN_200; pictures//target//toaster.jpg	10	20	UN_200	641503	2667	7	23834	7	2580	next	miss	0
20113	23	Response	11	n/a	n/a	n/a	656471	17636	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	25	Picture	trial_start	trial_start	n/a	n/a	670503	0	1	667	7	0	next	other	0
20113	25	Picture	11; 30; P; pictures//target//feather.jpg	11	30	P	671170	667	7	24834	7	580	next	miss	0
20113	25	Sound	11; 0; P; sounds//fellowship.wav	11	0	P	671173	670	2	n/a	n/a	670	n/a	hit	49
20113	25	Response	11	n/a	n/a	n/a	680640	10138	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	27	Picture	trial_start	trial_start	n/a	n/a	701170	0	1	667	7	0	next	other	0
20113	27	Picture	12; 50; No; pictures//nontarget//shoelace.jpeg	12	50	No	701837	667	7	24834	7	580	next	miss	0
20113	27	Sound	12; 0; No; sounds//empty.wav	12	0	No	701840	670	2	n/a	n/a	670	n/a	hit	53
20113	27	Response	21	n/a	n/a	n/a	713371	12201	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	29	Picture	trial_start	trial_start	n/a	n/a	731837	0	1	667	7	0	next	other	0
20113	29	Picture	13; 10; UN_0; pictures//target//ear.jpeg	13	10	UN_0	732504	667	7	25000	7	580	next	miss	0
20113	29	Sound	13; 0; UN_0; sounds//host.wav	13	0	UN_0	732507	670	2	n/a	n/a	670	n/a	hit	57
20113	29	Response	11	n/a	n/a	n/a	742349	10512	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	31	Picture	trial_start	trial_start	n/a	n/a	762671	0	1	2667	7	0	next	other	0
20113	31	Sound	14; 25; UN_200; sounds//missile.wav	14	25	UN_200	763341	670	2	n/a	n/a	670	n/a	hit	61
20113	31	Picture	14; 20; UN_200; pictures//target//projector.jpg	14	20	UN_200	765337	2667	7	23000	8	2580	next	miss	0
20113	31	Response	11	n/a	n/a	n/a	783088	20418	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	33	Picture	trial_start	trial_start	n/a	n/a	793505	0	1	2667	7	0	next	other	0
20113	33	Sound	15; 25; UN_200; sounds//clothes.wav	15	25	UN_200	794175	670	2	n/a	n/a	670	n/a	hit	65
20113	33	Picture	15; 20; UN_200; pictures//nontarget//dragonfly.png	15	20	UN_200	796171	2667	7	23000	7	2580	next	miss	0
20113	33	Response	21	n/a	n/a	n/a	807368	13863	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	35	Picture	trial_start	trial_start	n/a	n/a	824338	0	1	2667	7	0	next	other	0
20113	35	Sound	16; 45; C; sounds//queen.wav	16	45	C	825008	670	2	n/a	n/a	670	n/a	hit	69
20113	35	Picture	16; 40; C; pictures//nontarget//king.jpg	16	40	C	827005	2667	7	22834	7	2580	next	miss	0
20113	35	Response	21	n/a	n/a	n/a	837818	13480	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	37	Picture	trial_start	trial_start	n/a	n/a	855005	0	1	667	7	0	next	other	0
20113	37	Picture	17; 10; UN_0; pictures//nontarget//eyelash.jpg	17	10	UN_0	855672	667	7	25334	7	580	next	miss	0
20113	37	Sound	17; 0; UN_0; sounds//influence.wav	17	0	UN_0	855675	670	2	n/a	n/a	670	n/a	hit	73
20113	37	Response	21	n/a	n/a	n/a	867708	12703	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	39	Picture	trial_start	trial_start	n/a	n/a	886172	0	1	2667	7	0	next	other	0
20113	39	Sound	18; 45; C; sounds//wombat.wav	18	45	C	886842	670	1	n/a	n/a	670	n/a	hit	77
20113	39	Picture	18; 40; C; pictures//nontarget//koala.jpg	18	40	C	888839	2667	7	22834	7	2580	next	miss	0
20113	39	Response	21	n/a	n/a	n/a	906537	20365	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	41	Picture	trial_start	trial_start	n/a	n/a	916840	0	1	667	7	0	next	other	0
20113	41	Picture	19; 50; No; pictures//target//car.jpeg	19	50	No	917506	667	7	24834	7	580	next	miss	0
20113	41	Sound	19; 0; No; sounds//empty.wav	19	0	No	917510	670	2	n/a	n/a	670	n/a	hit	81
20113	41	Response	11	n/a	n/a	n/a	932797	15957	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	43	Picture	trial_start	trial_start	n/a	n/a	947507	0	1	667	7	0	next	other	0
20113	43	Picture	20; 30; P; pictures//nontarget//tornado.jpg	20	30	P	948173	667	7	24834	7	580	next	miss	0
20113	43	Sound	20; 0; P; sounds//torrent.wav	20	0	P	948177	670	2	n/a	n/a	670	n/a	hit	85
20113	43	Response	21	n/a	n/a	n/a	958158	10651	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	45	Picture	trial_start	trial_start	n/a	n/a	978174	0	1	667	7	0	next	other	0
20113	45	Picture	21; 30; P; pictures//target//lighter.png	21	30	P	978840	667	7	24834	7	580	next	miss	0
20113	45	Sound	21; 0; P; sounds//lion.wav	21	0	P	978844	670	2	n/a	n/a	670	n/a	hit	89
20113	45	Response	11	n/a	n/a	n/a	988306	10132	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	47	Picture	trial_start	trial_start	n/a	n/a	1008841	0	1	2667	7	0	next	other	0
20113	47	Sound	22; 45; C; sounds//squirrel.wav	22	45	C	1009511	670	2	n/a	n/a	670	n/a	hit	93
20113	47	Picture	22; 40; C; pictures//target//beaver.jpg	22	40	C	1011507	2667	7	23834	7	2580	next	miss	0
20113	47	Response	11	n/a	n/a	n/a	1023976	15135	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	49	Picture	trial_start	trial_start	n/a	n/a	1040508	0	1	667	7	0	next	other	0
20113	49	Picture	23; 30; P; pictures//nontarget//pipe.jpg	23	30	P	1041175	667	7	24834	7	580	next	miss	0
20113	49	Sound	23; 0; P; sounds//pint.wav	23	0	P	1041178	670	2	n/a	n/a	670	n/a	hit	97
20113	49	Response	21	n/a	n/a	n/a	1050045	9537	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	51	Picture	trial_start	trial_start	n/a	n/a	1071175	0	1	667	7	0	next	other	0
20113	51	Picture	24; 50; No; pictures//nontarget//veil.jpeg	24	50	No	1071842	667	7	24834	7	580	next	miss	0
20113	51	Sound	24; 0; No; sounds//empty.wav	24	0	No	1071845	670	2	n/a	n/a	670	n/a	hit	101
20113	51	Response	21	n/a	n/a	n/a	1085833	14658	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	53	Picture	trial_start	trial_start	n/a	n/a	1101842	0	1	2667	7	0	next	other	0
20113	53	Sound	25; 45; C; sounds//scorpion.wav	25	45	C	1102512	670	2	n/a	n/a	670	n/a	hit	105
20113	53	Picture	25; 40; C; pictures//target//spider.jpg	25	40	C	1104509	2667	7	23000	7	2580	next	miss	0
20113	53	Response	11	n/a	n/a	n/a	1115656	13814	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	55	Picture	trial_start	trial_start	n/a	n/a	1132676	0	1	2667	7	0	next	other	0
20113	55	Sound	26; 25; UN_200; sounds//magnet.wav	26	25	UN_200	1133346	670	2	n/a	n/a	670	n/a	hit	109
20113	55	Picture	26; 20; UN_200; pictures//target//escalator.jpg	26	20	UN_200	1135342	2667	7	22834	7	2580	next	miss	0
20113	55	Response	11	n/a	n/a	n/a	1155303	22627	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	57	Picture	trial_start	trial_start	n/a	n/a	1163343	0	1	667	7	0	next	other	0
20113	57	Picture	27; 50; No; pictures//target//diaper.jpeg	27	50	No	1164009	667	7	26000	7	580	next	miss	0
20113	57	Sound	27; 0; No; sounds//empty.wav	27	0	No	1164013	670	2	n/a	n/a	670	n/a	hit	113
20113	57	Response	11	n/a	n/a	n/a	1172724	9381	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	59	Picture	trial_start	trial_start	n/a	n/a	1195177	0	1	667	7	0	next	other	0
20113	59	Picture	28; 30; P; pictures//target//Blender.jpg	28	30	P	1195843	667	7	26167	7	580	next	miss	0
20113	59	Sound	28; 0; P; sounds//blemish.wav	28	0	P	1195847	670	2	n/a	n/a	670	n/a	hit	117
20113	59	Response	11	n/a	n/a	n/a	1205014	9837	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	61	Picture	trial_start	trial_start	n/a	n/a	1227176	0	1	2667	7	0	next	other	0
20113	61	Sound	29; 25; UN_200; sounds//meat.wav	29	25	UN_200	1227846	670	1	n/a	n/a	670	n/a	hit	121
20113	61	Picture	29; 20; UN_200; pictures//nontarget//strawberry.jpg	29	20	UN_200	1229844	2667	7	23667	7	2580	next	miss	0
20113	61	Response	21	n/a	n/a	n/a	1242053	14877	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	63	Picture	trial_start	trial_start	n/a	n/a	1258677	0	1	667	7	0	next	other	0
20113	63	Picture	30; 10; UN_0; pictures//target//ruler.jpg	30	10	UN_0	1259344	667	7	24500	13	580	next	miss	0
20113	63	Sound	30; 0; UN_0; sounds//fatigue.wav	30	0	UN_0	1259347	670	2	n/a	n/a	670	n/a	hit	125
20113	63	Response	11	n/a	n/a	n/a	1268272	9595	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	64	Picture	0;222;blockend	0	222	blockend	1283844	0	7	333	13	0	next	other	0
20113	65	Picture	0;111;blockstart	0	111	blockstart	1284178	0	7	167	7	0	next	other	0
20113	66	Picture	block_tar_pic	block_tar_pic	n/a	n/a	1284344	0	1	51834	1	0	next	other	0
20113	66	Sound	block_tar_sound	block_tar_sound	n/a	n/a	1284351	6	2	n/a	n/a	0	n/a	other	0
20113	68	Picture	trial_start	trial_start	n/a	n/a	1341345	0	1	2667	7	0	next	other	0
20113	68	Sound	1; 25; UN_200; sounds//hardship.wav	1	25	UN_200	1342015	670	1	n/a	n/a	670	n/a	incorrect	133
20113	68	Picture	1; 20; UN_200; pictures//target//elephant.jpg	1	20	UN_200	1344012	2667	7	25167	7	2580	next	hit	134
20113	68	Response	2	n/a	n/a	n/a	1351831	10486	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	68	Response	11	n/a	n/a	n/a	1356672	15327	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	70	Picture	trial_start	trial_start	n/a	n/a	1374346	0	1	667	7	0	next	other	0
20113	70	Picture	2; 50; No; pictures//nontarget//wine.jpeg	2	50	No	1375012	667	7	26000	7	580	next	miss	0
20113	70	Sound	2; 0; No; sounds//empty.wav	2	0	No	1375016	670	2	n/a	n/a	670	n/a	hit	138
20113	70	Response	21	n/a	n/a	n/a	1388551	14206	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	72	Picture	trial_start	trial_start	n/a	n/a	1406179	0	1	667	7	0	next	other	0
20113	72	Picture	3; 30; P; pictures//nontarget//Wolf.jpg	3	30	P	1406846	667	7	25000	7	580	next	miss	0
20113	72	Sound	3; 0; P; sounds//woman.wav	3	0	P	1406849	670	2	n/a	n/a	670	n/a	hit	142
20113	72	Response	21	n/a	n/a	n/a	1426731	20551	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	74	Picture	trial_start	trial_start	n/a	n/a	1437013	0	1	2667	7	0	next	other	0
20113	74	Sound	4; 45; C; sounds//machine.wav	4	45	C	1437683	670	2	n/a	n/a	670	n/a	hit	146
20113	74	Picture	4; 40; C; pictures//target//robot.jpg	4	40	C	1439680	2667	7	23166	7	2580	next	miss	0
20113	74	Response	11	n/a	n/a	n/a	1448339	11326	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	76	Picture	trial_start	trial_start	n/a	n/a	1468014	0	1	667	7	0	next	other	0
20113	76	Picture	5; 30; P; pictures//nontarget//farm.jpg	5	30	P	1468680	667	7	26167	7	580	next	miss	0
20113	76	Sound	5; 0; P; sounds//father.wav	5	0	P	1468684	670	2	n/a	n/a	670	n/a	hit	150
20113	76	Response	21	n/a	n/a	n/a	1480882	12868	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	78	Picture	trial_start	trial_start	n/a	n/a	1500014	0	1	2667	7	0	next	other	0
20113	78	Sound	6; 25; UN_200; sounds//pin.wav	6	25	UN_200	1500684	670	2	n/a	n/a	670	n/a	hit	154
20113	78	Picture	6; 20; UN_200; pictures//target//shirt.jpg	6	20	UN_200	1502681	2667	7	22834	7	2580	next	miss	0
20113	78	Response	11	n/a	n/a	n/a	1510821	10807	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	80	Picture	trial_start	trial_start	n/a	n/a	1530681	0	1	667	7	0	next	other	0
20113	80	Picture	7; 50; No; pictures//target//fingerprint.jpeg	7	50	No	1531348	667	7	26000	7	580	next	miss	0
20113	80	Sound	7; 0; No; sounds//empty.wav	7	0	No	1531351	670	2	n/a	n/a	670	n/a	hit	158
20113	80	Response	11	n/a	n/a	n/a	1542168	11487	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	82	Picture	trial_start	trial_start	n/a	n/a	1562515	0	1	667	7	0	next	other	0
20113	82	Picture	8; 10; UN_0; pictures//nontarget//camera.jpg	8	10	UN_0	1563182	667	7	25167	7	580	next	miss	0
20113	82	Sound	8; 0; UN_0; sounds//reason.wav	8	0	UN_0	1563185	670	2	n/a	n/a	670	n/a	hit	162
20113	82	Response	21	n/a	n/a	n/a	1577098	14583	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	84	Picture	trial_start	trial_start	n/a	n/a	1593515	0	1	667	7	0	next	other	0
20113	84	Picture	9; 10; UN_0; pictures//target//bat.jpg	9	10	UN_0	1594182	667	7	26000	7	580	next	miss	0
20113	84	Sound	9; 0; UN_0; sounds//campus.wav	9	0	UN_0	1594185	670	1	n/a	n/a	670	n/a	hit	166
20113	84	Response	11	n/a	n/a	n/a	1604688	11173	1	n/a	n/a	n/a	n/a	n/a	n/a
20113	86	Picture	trial_start	trial_start	n/a	n/a	1625349	0	1	2667	7	0	next	other	0
