Subject	Trial	Event Type	Code	trial_boolean(num)	condition_code(num)	condition_label(str)	Time	TTime	Uncertainty...10	Duration	Uncertainty...12	ReqTime	ReqDur	Stim Type	Pair Index
16661	1	Picture	0;11;localize	0	11	localize	-6	0	1	137334	7	0	next	other	0
16661	1	Response	0	n/a	n/a	n/a	137050	137056	1	n/a	n/a	n/a	n/a	n/a	n/a
16661	2	Picture	0;111;blockstart	0	111	blockstart	137328	0	7	167	7	0	next	other	0
16661	3	Picture	block_tar_pic	block_tar_pic	n/a	n/a	137495	0	1	51000	1	0	next	other	0
16661	3	Sound	block_tar_sound	block_tar_sound	n/a	n/a	137523	28	251	n/a	n/a	0	n/a	other	0
16661	5	Picture	trial_start	trial_start	n/a	n/a	193662	0	1	2667	7	0	next	other	0
16661	5	Sound	1; 45; C; sounds//squid.wav	1	45	C	194332	670	2	n/a	n/a	670	n/a	hit	9
16661	5	Picture	1; 40; C; pictures//nontarget//Jellyfish.jpg	1	40	C	196329	2667	7	23167	7	2580	next	miss	0
16661	5	Response	21	n/a	n/a	n/a	213413	19751	1	n/a	n/a	n/a	n/a	n/a	n/a
16661	7	Picture	trial_start	trial_start	n/a	n/a	224662	0	1	667	7	0	next	other	0
16661	7	Picture	2; 10; UN_0; pictures//target//windmill.jpg	2	10	UN_0	225329	667	7	24834	7	580	next	miss	0
16661	7	Sound	2; 0; UN_0; sounds//hive.wav	2	0	UN_0	225332	670	2	n/a	n/a	670	n/a	hit	13
16661	7	Response	11	n/a	n/a	n/a	237913	13251	1	n/a	n/a	n/a	n/a	n/a	n/a
16661	9	Picture	trial_start	trial_start	n/a	n/a	255329	0	1	2667	7	0	next	other	0
16661	9	Sound	3; 25; UN_200; sounds//outcome.wav	3	25	UN_200	255999	670	2	n/a	n/a	670	n/a	miss	0
16661	9	Picture	3; 20; UN_200; pictures//nontarget//earring.png	3	20	UN_200	257996	2667	7	22833	7	2580	next	miss	0
16661	10	Response	2	n/a	n/a	n/a	281832	1003	1	n/a	n/a	n/a	n/a	n/a	n/a
16661	11	Picture	trial_start	trial_start	n/a	n/a	285996	0	1	2667	7	0	next	other	0
16661	11	Sound	4; 45; C; sounds//torch.wav	4	45	C	286666	670	2	n/a	n/a	670	n/a	hit	21
16661	11	Picture	4; 40; C; pictures//target//candle.jpg	4	40	C	288663	2667	7	23500	7	2580	next	miss	0
16661	11	Response	11	n/a	n/a	n/a	297622	11626	1	n/a	n/a	n/a	n/a	n/a	n/a
16661	13	Picture	trial_start	trial_start	n/a	n/a	317329	0	1	667	7	0	next	other	0
16661	13	Picture	5; 10; UN_0; pictures//target//pencil.jpg	5	10	UN_0	317996	667	7	25167	7	580	next	miss	0
16661	13	Sound	5; 0; UN_0; sounds//caution.wav	5	0	UN_0	317999	670	2	n/a	n/a	670	n/a	hit	25
