Subject	Trial	Event Type	Code	trial_boolean(num)	condition_code(num)	condition_label(str)	Time	TTime	Uncertainty...10	Duration	Uncertainty...12	ReqTime	ReqDur	Stim Type	Pair Index
20120	1	Picture	0;11;localize	0	11	localize	161	0	1	252501	7	0	next	other	0
20120	1	Response	0	n/a	n/a	n/a	252442	252282	1	n/a	n/a	n/a	n/a	n/a	n/a
20120	2	Picture	0;111;blockstart	0	111	blockstart	252662	0	7	167	7	0	next	other	0
20120	3	Picture	block_tar_pic	block_tar_pic	n/a	n/a	252828	0	1	50500	1	0	next	other	0
20120	3	Sound	block_tar_sound	block_tar_sound	n/a	n/a	252856	28	209	n/a	n/a	0	n/a	other	0
20120	5	Picture	trial_start	trial_start	n/a	n/a	308495	0	1	667	7	0	next	other	0
20120	5	Picture	1; 10; UN_0; pictures//nontarget//eyelash.jpg	1	10	UN_0	309162	667	7	24833	7	580	next	miss	0
20120	5	Sound	1; 0; UN_0; sounds//influence.wav	1	0	UN_0	309165	670	2	n/a	n/a	670	n/a	hit	9
20120	5	Response	11	n/a	n/a	n/a	318340	9845	1	n/a	n/a	n/a	n/a	n/a	n/a
20120	7	Picture	trial_start	trial_start	n/a	n/a	339162	0	1	2667	7	0	next	other	0
20120	7	Sound	2; 25; UN_200; sounds//nature.wav	2	25	UN_200	339832	670	2	n/a	n/a	670	n/a	incorrect	13
20120	7	Picture	2; 20; UN_200; pictures//nontarget//horseshoe.png	2	20	UN_200	341829	2667	7	22833	7	2580	next	miss	0
20120	7	Response	2	n/a	n/a	n/a	351179	12017	1	n/a	n/a	n/a	n/a	n/a	n/a
20120	9	Picture	trial_start	trial_start	n/a	n/a	369829	0	1	2667	7	0	next	other	0
20120	9	Sound	3; 45; C; sounds//scorpion.wav	3	45	C	370499	670	2	n/a	n/a	670	n/a	incorrect	17
20120	9	Picture	3; 40; C; pictures//target//spider.jpg	3	40	C	372495	2667	7	23167	7	2580	next	hit	18
20120	9	Response	1	n/a	n/a	n/a	379718	9890	2	n/a	n/a	n/a	n/a	n/a	n/a
20120	9	Response	21	n/a	n/a	n/a	384928	15100	1	n/a	n/a	n/a	n/a	n/a	n/a
20120	9	Response	2	n/a	n/a	n/a	389570	19741	1	n/a	n/a	n/a	n/a	n/a	n/a
20120	11	Picture	trial_start	trial_start	n/a	n/a	400829	0	1	667	7	0	next	other	0
20120	11	Picture	4; 10; UN_0; pictures//target//hanger.jpg	4	10	UN_0	401495	667	7	25167	7	580	next	miss	0
20120	11	Sound	4; 0; UN_0; sounds//refuge.wav	4	0	UN_0	401499	670	2	n/a	n/a	670	n/a	incorrect	23
20120	11	Response	1	n/a	n/a	n/a	422288	21459	1	n/a	n/a	n/a	n/a	n/a	n/a
20120	13	Picture	trial_start	trial_start	n/a	n/a	431829	0	1	2667	7	0	next	other	0
20120	13	Sound	5; 45; C; sounds//wombat.wav	5	45	C	432499	670	2	n/a	n/a	670	n/a	hit	27
20120	13	Picture	5; 40; C; pictures//nontarget//koala.jpg	5	40	C	434496	2667	7	22833	7	2580	next	miss	0
20120	13	Response	11	n/a	n/a	n/a	449556	17727	1	n/a	n/a	n/a	n/a	n/a	n/a
20120	15	Picture	trial_start	trial_start	n/a	n/a	462496	0	1	667	7	0	next	other	0
20120	15	Picture	6; 50; No; pictures//target//car.jpeg	6	50	No	463162	667	7	26000	7	580	next	miss	0
20120	15	Sound	6; 0; No; sounds//empty.wav	6	0	No	463166	670	2	n/a	n/a	670	n/a	hit	31
20120	15	Response	21	n/a	n/a	n/a	469606	7110	1	n/a	n/a	n/a	n/a	n/a	n/a
20120	17	Picture	trial_start	trial_start	n/a	n/a	494329	0	1	2667	7	0	next	other	0
20120	17	Sound	7; 45; C; sounds//prize.wav	7	45	C	494999	670	1	n/a	n/a	670	n/a	miss	0
20120	17	Picture	7; 40; C; pictures//nontarget//trophy.jpg	7	40	C	496996	2667	7	23000	7	2580	next	miss	0
20120	18	Response	1	n/a	n/a	n/a	520836	840	2	n/a	n/a	n/a	n/a	n/a	n/a
20120	19	Picture	trial_start	trial_start	n/a	n/a	525163	0	1	667	7	0	next	other	0
20120	19	Picture	8; 30; P; pictures//nontarget//jeep.jpg	8	30	P	525829	667	7	24833	7	580	next	miss	0
20120	19	Sound	8; 0; P; sounds//genius.wav	8	0	P	525833	670	2	n/a	n/a	670	n/a	incorrect	39
