Subject	Trial	Event Type	Code	trial_boolean(num)	condition_code(num)	condition_label(str)	Time	TTime	Uncertainty...10	Duration	Uncertainty...12	ReqTime	ReqDur	Stim Type	Pair Index
20115	1	Picture	0;11;localize	0	11	localize	164	0	1	201835	7	0	next	other	0
20115	1	Response	0	n/a	n/a	n/a	201875	201711	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	2	Picture	0;111;blockstart	0	111	blockstart	201999	0	7	167	7	0	next	other	0
20115	3	Picture	block_tar_pic	block_tar_pic	n/a	n/a	202165	0	1	51167	1	0	next	other	0
20115	3	Sound	block_tar_sound	block_tar_sound	n/a	n/a	202198	33	533	n/a	n/a	0	n/a	other	0
20115	5	Picture	trial_start	trial_start	n/a	n/a	258499	0	1	2667	7	0	next	other	0
20115	5	Sound	1; 45; C; sounds//squid.wav	1	45	C	259169	670	2	n/a	n/a	670	n/a	hit	9
20115	5	Picture	1; 40; C; pictures//nontarget//Jellyfish.jpg	1	40	C	261166	2667	7	23333	7	2580	next	miss	0
20115	5	Response	11	n/a	n/a	n/a	273908	15409	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	7	Picture	trial_start	trial_start	n/a	n/a	289666	0	1	667	7	0	next	other	0
20115	7	Picture	2; 10; UN_0; pictures//target//windmill.jpg	2	10	UN_0	290333	667	7	24833	7	580	next	miss	0
20115	7	Sound	2; 0; UN_0; sounds//hive.wav	2	0	UN_0	290336	670	2	n/a	n/a	670	n/a	hit	13
20115	7	Response	21	n/a	n/a	n/a	298819	9153	2	n/a	n/a	n/a	n/a	n/a	n/a
20115	9	Picture	trial_start	trial_start	n/a	n/a	320333	0	1	2667	7	0	next	other	0
20115	9	Sound	3; 25; UN_200; sounds//outcome.wav	3	25	UN_200	321003	670	2	n/a	n/a	670	n/a	incorrect	17
20115	9	Picture	3; 20; UN_200; pictures//nontarget//earring.png	3	20	UN_200	323000	2667	7	22833	7	2580	next	miss	0
20115	9	Response	2	n/a	n/a	n/a	332647	12314	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	11	Picture	trial_start	trial_start	n/a	n/a	351000	0	1	2667	7	0	next	other	0
20115	11	Sound	4; 45; C; sounds//torch.wav	4	45	C	351670	670	2	n/a	n/a	670	n/a	hit	21
20115	11	Picture	4; 40; C; pictures//target//candle.jpg	4	40	C	353667	2667	7	23667	8	2580	next	miss	0
20115	11	Response	21	n/a	n/a	n/a	363336	12336	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	13	Picture	trial_start	trial_start	n/a	n/a	382500	0	1	667	7	0	next	other	0
20115	13	Picture	5; 10; UN_0; pictures//target//pencil.jpg	5	10	UN_0	383167	667	7	25167	7	580	next	miss	0
20115	13	Sound	5; 0; UN_0; sounds//caution.wav	5	0	UN_0	383170	670	2	n/a	n/a	670	n/a	hit	25
20115	13	Response	21	n/a	n/a	n/a	391476	8976	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	15	Picture	trial_start	trial_start	n/a	n/a	413500	0	1	667	7	0	next	other	0
20115	15	Picture	6; 50; No; pictures//nontarget//ginger.jpeg	6	50	No	414167	667	7	24833	7	580	next	hit	30
20115	15	Sound	6; 0; No; sounds//empty.wav	6	0	No	414170	670	1	n/a	n/a	670	n/a	hit	29
20115	15	Response	11	n/a	n/a	n/a	425507	12007	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	15	Response	11	n/a	n/a	n/a	426604	13104	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	17	Picture	trial_start	trial_start	n/a	n/a	444167	0	1	667	7	0	next	other	0
20115	17	Picture	7; 30; P; pictures//target//bagel.png	7	30	P	444834	667	7	24833	7	580	next	miss	0
20115	17	Sound	7; 0; P; sounds//baseline.wav	7	0	P	444837	670	1	n/a	n/a	670	n/a	hit	34
20115	17	Response	21	n/a	n/a	n/a	462455	18287	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	19	Picture	trial_start	trial_start	n/a	n/a	474834	0	1	2667	7	0	next	other	0
20115	19	Sound	8; 25; UN_200; sounds//seminar.wav	8	25	UN_200	475504	670	1	n/a	n/a	670	n/a	incorrect	38
20115	19	Picture	8; 20; UN_200; pictures//target//well.jpg	8	20	UN_200	477501	2667	7	23000	7	2580	next	miss	0
20115	19	Response	1	n/a	n/a	n/a	489254	14420	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	21	Picture	trial_start	trial_start	n/a	n/a	505668	0	1	2667	7	0	next	other	0
20115	21	Sound	9; 45; C; sounds//broom.wav	9	45	C	506338	670	2	n/a	n/a	670	n/a	hit	42
20115	21	Picture	9; 40; C; pictures//nontarget//mop.jpg	9	40	C	508334	2667	7	22833	7	2580	next	miss	0
20115	21	Response	11	n/a	n/a	n/a	527763	22096	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	23	Picture	trial_start	trial_start	n/a	n/a	536335	0	1	2667	7	0	next	other	0
20115	23	Sound	10; 45; C; sounds//disc.wav	10	45	C	537005	670	2	n/a	n/a	670	n/a	hit	46
20115	23	Picture	10; 40; C; pictures//nontarget//frisbee.png	10	40	C	539001	2667	7	23667	7	2580	next	miss	0
20115	23	Response	11	n/a	n/a	n/a	551723	15388	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	25	Picture	trial_start	trial_start	n/a	n/a	567835	0	1	667	7	0	next	other	0
20115	25	Picture	11; 50; No; pictures//nontarget//chick.jpeg	11	50	No	568501	667	7	24834	7	580	next	miss	0
20115	25	Sound	11; 0; No; sounds//empty.wav	11	0	No	568505	670	2	n/a	n/a	670	n/a	hit	50
20115	25	Response	11	n/a	n/a	n/a	580682	12848	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	27	Picture	trial_start	trial_start	n/a	n/a	598502	0	1	667	7	0	next	other	0
20115	27	Picture	12; 30; P; pictures//nontarget//tray.jpeg	12	30	P	599168	667	7	24833	7	580	next	miss	0
20115	27	Sound	12; 0; P; sounds//tracer.wav	12	0	P	599172	670	2	n/a	n/a	670	n/a	hit	54
20115	27	Response	11	n/a	n/a	n/a	618531	20030	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	29	Picture	trial_start	trial_start	n/a	n/a	629169	0	1	667	7	0	next	other	0
20115	29	Picture	13; 10; UN_0; pictures//target//shell.jpg	13	10	UN_0	629835	667	7	24834	7	580	next	miss	0
20115	29	Sound	13; 0; UN_0; sounds//airport.wav	13	0	UN_0	629839	670	2	n/a	n/a	670	n/a	incorrect	58
20115	29	Response	1	n/a	n/a	n/a	644792	15623	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	31	Picture	trial_start	trial_start	n/a	n/a	659835	0	1	667	7	0	next	other	0
20115	31	Picture	14; 10; UN_0; pictures//nontarget//shelf.jpg	14	10	UN_0	660502	667	7	26000	7	580	next	miss	0
20115	31	Sound	14; 0; UN_0; sounds//palace.wav	14	0	UN_0	660505	670	1	n/a	n/a	670	n/a	incorrect	62
20115	31	Response	2	n/a	n/a	n/a	672481	12645	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	33	Picture	trial_start	trial_start	n/a	n/a	691669	0	1	2667	7	0	next	other	0
20115	33	Sound	15; 25; UN_200; sounds//quality.wav	15	25	UN_200	692339	670	2	n/a	n/a	670	n/a	hit	66
20115	33	Picture	15; 20; UN_200; pictures//nontarget//Sheep.jpg	15	20	UN_200	694336	2667	7	23000	8	2580	next	miss	0
20115	33	Response	11	n/a	n/a	n/a	710321	18652	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	35	Picture	trial_start	trial_start	n/a	n/a	722503	0	1	667	7	0	next	other	0
20115	35	Picture	16; 30; P; pictures//nontarget//crutch.jpg	16	30	P	723169	667	7	26000	7	580	next	miss	0
20115	35	Sound	16; 0; P; sounds//crust.wav	16	0	P	723173	670	2	n/a	n/a	670	n/a	hit	70
20115	35	Response	11	n/a	n/a	n/a	745628	23126	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	37	Picture	trial_start	trial_start	n/a	n/a	754336	0	1	2667	7	0	next	other	0
20115	37	Sound	17; 45; C; sounds//ribbon.wav	17	45	C	755006	670	2	n/a	n/a	670	n/a	hit	74
20115	37	Picture	17; 40; C; pictures//target//medal.jpg	17	40	C	757003	2667	7	22833	7	2580	next	miss	0
20115	37	Response	21	n/a	n/a	n/a	772120	17784	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	39	Picture	trial_start	trial_start	n/a	n/a	785003	0	1	667	7	0	next	other	0
20115	39	Picture	18; 50; No; pictures//target//eggshell.jpeg	18	50	No	785670	667	7	28334	7	580	next	miss	0
20115	39	Sound	18; 0; No; sounds//empty.wav	18	0	No	785673	670	3	n/a	n/a	670	n/a	hit	78
20115	39	Response	21	n/a	n/a	n/a	799888	14885	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	41	Picture	trial_start	trial_start	n/a	n/a	819170	0	1	667	7	0	next	other	0
20115	41	Picture	19; 50; No; pictures//target//nail.jpeg	19	50	No	819837	667	7	24834	7	580	next	miss	0
20115	41	Sound	19; 0; No; sounds//empty.wav	19	0	No	819840	670	2	n/a	n/a	670	n/a	miss	0
20115	43	Picture	trial_start	trial_start	n/a	n/a	849837	0	1	667	7	0	next	other	0
20115	43	Picture	20; 30; P; pictures//target//tunnel.jpg	20	30	P	850504	667	7	25500	7	580	next	miss	0
20115	43	Sound	20; 0; P; sounds//touch.wav	20	0	P	850507	670	2	n/a	n/a	670	n/a	hit	85
20115	43	Response	21	n/a	n/a	n/a	859787	9950	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	45	Picture	trial_start	trial_start	n/a	n/a	881170	0	1	667	7	0	next	other	0
