Subject	Trial	Event Type	Code	trial_boolean(num)	condition_code(num)	condition_label(str)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
15434	1	Picture	0;11;localize	0	11	localize	164	0	1	170336	7	0	next	other	0
15434	1	Response	0				170255	170091	1						
15434	2	Picture	0;111;blockstart	0	111	blockstart	170499	0	7	167	7	0	next	other	0
15434	3	Picture	block_tar_pic	block_tar_pic			170666	0	1	50667	1	0	next	other	0
15434	3	Sound	block_tar_sound	block_tar_sound			170698	33	277			0		other	0
15434	5	Picture	trial_start	trial_start			226500	0	1	2667	7	0	next	other	0
15434	5	Sound	1; 25; UN_200; sounds//missile.wav	1	25	 UN_200	227170	670	2			670		hit	9
15434	5	Picture	1; 20; UN_200; pictures//target//projector.jpg	1	20	 UN_200	229167	2667	7	23000	7	2580	next	miss	0
15434	5	Response	11				243499	16999	1						
15434	7	Picture	trial_start	trial_start			257334	0	1	2667	7	0	next	other	0
15434	7	Sound	2; 45; C; sounds//queen.wav	2	45	 C	258004	670	2			670		hit	13
15434	7	Picture	2; 40; C; pictures//nontarget//king.jpg	2	40	 C	260000	2667	7	22834	7	2580	next	miss	0
15434	7	Response	21				278820	21487	1						
15434	9	Picture	trial_start	trial_start			288001	0	1	667	7	0	next	other	0
15434	9	Picture	3; 50; No; pictures//target//diaper.jpeg	3	50	 No	288667	667	7	24834	7	580	next	miss	0
15434	9	Sound	3; 0; No; sounds//empty.wav	3	0	 No	288671	670	1			670		hit	17
15434	9	Response	11				303030	15030	1						
15434	11	Picture	trial_start	trial_start			318668	0	1	667	7	0	next	other	0
15434	11	Picture	4; 30; P; pictures//nontarget//tornado.jpg	4	30	 P	319334	667	7	25667	7	580	next	miss	0
15434	11	Sound	4; 0; P; sounds//torrent.wav	4	0	 P	319338	670	2			670		hit	21
15434	11	Response	21				335228	16561	1						
15434	13	Picture	trial_start	trial_start			350168	0	1	667	7	0	next	other	0
15434	13	Picture	5; 30; P; pictures//target//feather.jpg	5	30	 P	350835	667	7	24834	7	580	next	miss	0
15434	13	Sound	5; 0; P; sounds//fellowship.wav	5	0	 P	350838	670	2			670		hit	25
15434	13	Response	11				362099	11931	1						
15434	15	Picture	trial_start	trial_start			380835	0	1	2667	7	0	next	other	0
15434	15	Sound	6; 25; UN_200; sounds//nature.wav	6	25	 UN_200	381505	670	2			670		hit	29
15434	15	Picture	6; 20; UN_200; pictures//nontarget//horseshoe.png	6	20	 UN_200	383502	2667	7	22834	7	2580	next	miss	0
15434	15	Response	21				405777	24942	1						
15434	17	Picture	trial_start	trial_start			411502	0	1	2667	7	0	next	other	0
15434	17	Sound	7; 45; C; sounds//scorpion.wav	7	45	 C	412172	670	2			670		hit	33
