Subject	Trial	Event Type	Code	trial_boolean(num)	condition_code(num)	condition_label(str)	Time	TTime	Uncertainty...10	Duration	Uncertainty...12	ReqTime	ReqDur	Stim Type	Pair Index
20124	1	Picture	0;11;localize	0	11	localize	160	0	1	259837	7	0	next	other	0
20124	1	Response	0	n/a	n/a	n/a	259478	259317	1	n/a	n/a	n/a	n/a	n/a	n/a
20124	2	Picture	0;111;blockstart	0	111	blockstart	259997	0	7	167	7	0	next	other	0
20124	3	Picture	block_tar_pic	block_tar_pic	n/a	n/a	260164	0	1	50667	1	0	next	other	0
20124	3	Sound	block_tar_sound	block_tar_sound	n/a	n/a	260193	29	556	n/a	n/a	0	n/a	other	0
20124	5	Picture	trial_start	trial_start	n/a	n/a	315998	0	1	667	7	0	next	other	0
20124	5	Picture	1; 50; No; pictures//nontarget//vest.jpeg	1	50	No	316665	667	7	25000	7	580	next	miss	0
20124	5	Sound	1; 0; No; sounds//empty.wav	1	0	No	316668	670	1	n/a	n/a	670	n/a	hit	9
20124	5	Response	21	n/a	n/a	n/a	330739	14741	1	n/a	n/a	n/a	n/a	n/a	n/a
20124	7	Picture	trial_start	trial_start	n/a	n/a	346832	0	1	667	8	0	next	other	0
20124	7	Picture	2; 30; P; pictures//nontarget//panda.jpg	2	30	P	347499	667	7	25167	8	580	next	miss	0
20124	7	Sound	2; 0; P; sounds//panel.wav	2	0	P	347502	670	4	n/a	n/a	670	n/a	hit	13
20124	7	Response	21	n/a	n/a	n/a	360792	13960	1	n/a	n/a	n/a	n/a	n/a	n/a
20124	9	Picture	trial_start	trial_start	n/a	n/a	377832	0	1	2667	7	0	next	other	0
20124	9	Sound	3; 45; C; sounds//bread.wav	3	45	C	378502	670	1	n/a	n/a	670	n/a	hit	17
20124	9	Picture	3; 40; C; pictures//nontarget//pizza.jpg	3	40	C	380499	2667	7	23834	7	2580	next	miss	0
20124	9	Response	21	n/a	n/a	n/a	392509	14676	1	n/a	n/a	n/a	n/a	n/a	n/a
20124	11	Picture	trial_start	trial_start	n/a	n/a	409499	0	1	667	7	0	next	other	0
20124	11	Picture	4; 30; P; pictures//target//fork.jpg	4	30	P	410166	667	7	25167	7	580	next	miss	0
20124	11	Sound	4; 0; P; sounds//forces.wav	4	0	P	410170	670	2	n/a	n/a	670	n/a	hit	21
20124	11	Response	11	n/a	n/a	n/a	420551	11052	1	n/a	n/a	n/a	n/a	n/a	n/a
20124	13	Picture	trial_start	trial_start	n/a	n/a	440500	0	1	667	7	0	next	other	0
20124	13	Picture	5; 10; UN_0; pictures//nontarget//monkey.jpeg	5	10	UN_0	441167	667	7	28000	7	580	next	miss	0
20124	13	Sound	5; 0; UN_0; sounds//seed.wav	5	0	UN_0	441170	670	2	n/a	n/a	670	n/a	hit	25
20124	13	Response	21	n/a	n/a	n/a	452869	12369	1	n/a	n/a	n/a	n/a	n/a	n/a
