Subject	Trial	Event Type	Code	trial_boolean(num)	condition_code(num)	condition_label(str)	Time	TTime	Uncertainty...10	Duration	Uncertainty...12	ReqTime	ReqDur	Stim Type	Pair Index
20099	1	Picture	0;11;localize	0	11	localize	161	0	1	170502	7	0	next	other	0
20099	1	Response	0	n/a	n/a	n/a	170259	170099	1	n/a	n/a	n/a	n/a	n/a	n/a
20099	2	Picture	0;111;blockstart	0	111	blockstart	170663	0	7	167	7	0	next	other	0
20099	3	Picture	block_tar_pic	block_tar_pic	n/a	n/a	170830	0	1	51334	1	0	next	other	0
20099	3	Sound	block_tar_sound	block_tar_sound	n/a	n/a	170864	34	297	n/a	n/a	0	n/a	other	0
20099	5	Picture	trial_start	trial_start	n/a	n/a	227330	0	1	667	7	0	next	other	0
20099	5	Picture	1; 10; UN_0; pictures//target//lipstick.jpg	1	10	UN_0	227997	667	7	24834	7	580	next	miss	0
20099	5	Sound	1; 0; UN_0; sounds//prison.wav	1	0	UN_0	228000	670	2	n/a	n/a	670	n/a	hit	9
20099	5	Response	21	n/a	n/a	n/a	243343	16012	1	n/a	n/a	n/a	n/a	n/a	n/a
20099	7	Picture	trial_start	trial_start	n/a	n/a	257997	0	1	667	7	0	next	other	0
20099	7	Picture	2; 30; P; pictures//nontarget//jam.png	2	30	P	258664	667	7	24834	7	580	next	miss	0
20099	7	Sound	2; 0; P; sounds//jazz.wav	2	0	P	258667	670	2	n/a	n/a	670	n/a	hit	13
20099	7	Response	11	n/a	n/a	n/a	275410	17412	1	n/a	n/a	n/a	n/a	n/a	n/a
20099	9	Picture	trial_start	trial_start	n/a	n/a	288664	0	1	2667	7	0	next	other	0
20099	9	Sound	3; 25; UN_200; sounds//city.wav	3	25	UN_200	289335	671	2	n/a	n/a	670	n/a	hit	17
20099	9	Picture	3; 20; UN_200; pictures//target//neck.png	3	20	UN_200	291331	2667	7	25667	7	2580	next	miss	0
20099	9	Response	21	n/a	n/a	n/a	303070	14406	1	n/a	n/a	n/a	n/a	n/a	n/a
20099	11	Picture	trial_start	trial_start	n/a	n/a	322165	0	1	667	7	0	next	other	0
20099	11	Picture	4; 50; No; pictures//target//sink.jpeg	4	50	No	322832	667	7	24834	7	580	next	miss	0
20099	11	Sound	4; 0; No; sounds//empty.wav	4	0	No	322835	670	2	n/a	n/a	670	n/a	hit	21
20099	11	Response	21	n/a	n/a	n/a	336622	14457	2	n/a	n/a	n/a	n/a	n/a	n/a
20099	13	Picture	trial_start	trial_start	n/a	n/a	352832	0	1	667	7	0	next	other	0
20099	13	Picture	5; 10; UN_0; pictures//nontarget//cave.jpg	5	10	UN_0	353499	667	7	24834	7	580	next	miss	0
20099	13	Sound	5; 0; UN_0; sounds//tax.wav	5	0	UN_0	353502	670	2	n/a	n/a	670	n/a	hit	25
20099	13	Response	11	n/a	n/a	n/a	364419	11587	1	n/a	n/a	n/a	n/a	n/a	n/a
20099	15	Picture	trial_start	trial_start	n/a	n/a	383499	0	1	667	7	0	next	other	0
