Subject	Trial	Event Type	Code	trial_boolean(num)	condition_code(num)	condition_label(str)	Time	TTime	Uncertainty...10	Duration	Uncertainty...12	ReqTime	ReqDur	Stim Type	Pair Index
20084	1	Picture	0;11;localize	0	11	localize	161	0	1	232502	7	0	next	other	0
20084	1	Response	0	n/a	n/a	n/a	232393	232232	1	n/a	n/a	n/a	n/a	n/a	n/a
20084	2	Picture	0;111;blockstart	0	111	blockstart	232662	0	7	167	7	0	next	other	0
20084	3	Picture	block_tar_pic	block_tar_pic	n/a	n/a	232829	0	1	51667	1	0	next	other	0
20084	3	Sound	block_tar_sound	block_tar_sound	n/a	n/a	232858	30	256	n/a	n/a	0	n/a	other	0
20084	5	Picture	trial_start	trial_start	n/a	n/a	289663	0	1	2667	7	0	next	other	0
20084	5	Sound	1; 45; C; sounds//prize.wav	1	45	C	290333	670	2	n/a	n/a	670	n/a	hit	9
20084	5	Picture	1; 40; C; pictures//nontarget//trophy.jpg	1	40	C	292329	2667	7	23167	7	2580	next	miss	0
20084	5	Response	21	n/a	n/a	n/a	303526	13863	1	n/a	n/a	n/a	n/a	n/a	n/a
20084	7	Picture	trial_start	trial_start	n/a	n/a	320663	0	1	667	7	0	next	other	0
20084	7	Picture	2; 10; UN_0; pictures//target//hanger.jpg	2	10	UN_0	321330	667	7	24834	7	580	next	miss	0
20084	7	Sound	2; 0; UN_0; sounds//refuge.wav	2	0	UN_0	321333	670	2	n/a	n/a	670	n/a	hit	13
20084	7	Response	11	n/a	n/a	n/a	337505	16842	1	n/a	n/a	n/a	n/a	n/a	n/a
20084	9	Picture	trial_start	trial_start	n/a	n/a	351330	0	1	2667	7	0	next	other	0
20084	9	Sound	3; 25; UN_200; sounds//nature.wav	3	25	UN_200	352000	670	2	n/a	n/a	670	n/a	hit	17
20084	9	Picture	3; 20; UN_200; pictures//nontarget//horseshoe.png	3	20	UN_200	353996	2667	7	23500	7	2580	next	miss	0
20084	9	Response	21	n/a	n/a	n/a	368143	16814	1	n/a	n/a	n/a	n/a	n/a	n/a
20084	11	Picture	trial_start	trial_start	n/a	n/a	382663	0	1	667	7	0	next	other	0
20084	11	Picture	4; 50; No; pictures//target//mirror.jpeg	4	50	No	383330	667	7	26334	7	580	next	miss	0
20084	11	Sound	4; 0; No; sounds//empty.wav	4	0	No	383333	670	2	n/a	n/a	670	n/a	hit	21
20084	11	Response	11	n/a	n/a	n/a	392653	9990	1	n/a	n/a	n/a	n/a	n/a	n/a
20084	13	Picture	trial_start	trial_start	n/a	n/a	414830	0	1	667	7	0	next	other	0
20084	13	Picture	5; 10; UN_0; pictures//nontarget//tree.jpg	5	10	UN_0	415497	667	7	25834	7	580	next	miss	0
20084	13	Sound	5; 0; UN_0; sounds//opera.wav	5	0	UN_0	415500	670	2	n/a	n/a	670	n/a	hit	25
20084	13	Response	21	n/a	n/a	n/a	423332	8502	1	n/a	n/a	n/a	n/a	n/a	n/a
20084	15	Picture	trial_start	trial_start	n/a	n/a	446497	0	1	2667	7	0	next	other	0
20084	15	Sound	6; 45; C; sounds//melon.wav	6	45	C	447167	670	2	n/a	n/a	670	n/a	hit	29
20084	15	Picture	6; 40; C; pictures//target//cucumber.jpg	6	40	C	449164	2667	7	24667	7	2580	next	miss	0
20084	15	Response	11	n/a	n/a	n/a	458573	12076	1	n/a	n/a	n/a	n/a	n/a	n/a
20084	17	Picture	trial_start	trial_start	n/a	n/a	478997	0	1	667	7	0	next	other	0
20084	17	Picture	7; 10; UN_0; pictures//nontarget//broom.jpg	7	10	UN_0	479664	667	7	25000	7	580	next	miss	0
20084	17	Sound	7; 0; UN_0; sounds//zombie.wav	7	0	UN_0	479667	670	2	n/a	n/a	670	n/a	hit	33
20084	17	Response	21	n/a	n/a	n/a	488282	9284	1	n/a	n/a	n/a	n/a	n/a	n/a
20084	19	Picture	trial_start	trial_start	n/a	n/a	509831	0	1	667	7	0	next	other	0
20084	19	Picture	8; 30; P; pictures//nontarget//jeep.jpg	8	30	P	510498	667	7	24834	7	580	next	miss	0
20084	19	Sound	8; 0; P; sounds//genius.wav	8	0	P	510501	670	2	n/a	n/a	670	n/a	hit	37
20084	19	Response	21	n/a	n/a	n/a	519601	9770	1	n/a	n/a	n/a	n/a	n/a	n/a
20084	21	Picture	trial_start	trial_start	n/a	n/a	540498	0	1	667	7	0	next	other	0
20084	21	Picture	9; 50; No; pictures//nontarget//needle.jpeg	9	50	No	541164	667	7	26167	7	580	next	miss	0
20084	21	Sound	9; 0; No; sounds//empty.wav	9	0	No	541168	670	2	n/a	n/a	670	n/a	hit	41
20084	21	Response	21	n/a	n/a	n/a	561050	20552	1	n/a	n/a	n/a	n/a	n/a	n/a
20084	23	Picture	trial_start	trial_start	n/a	n/a	572498	0	1	2667	7	0	next	other	0
20084	23	Sound	10; 25; UN_200; sounds//intention.wav	10	25	UN_200	573168	670	2	n/a	n/a	670	n/a	incorrect	45
