Subject	Trial	Event Type	Code	trial_boolean(num)	condition_code(num)	condition_label(str)	Time	TTime	Uncertainty...10	Duration	Uncertainty...12	ReqTime	ReqDur	Stim Type	Pair Index
20083	1	Picture	0;11;localize	0	11	localize	161	0	1	180168	7	0	next	other	0
20083	1	Response	0	n/a	n/a	n/a	180157	179997	1	n/a	n/a	n/a	n/a	n/a	n/a
20083	2	Picture	0;111;blockstart	0	111	blockstart	180329	0	7	167	7	0	next	other	0
20083	3	Picture	block_tar_pic	block_tar_pic	n/a	n/a	180495	0	1	51667	1	0	next	other	0
20083	3	Sound	block_tar_sound	block_tar_sound	n/a	n/a	180521	26	246	n/a	n/a	0	n/a	other	0
20083	5	Picture	trial_start	trial_start	n/a	n/a	237329	0	2	2667	9	0	next	other	0
20083	5	Sound	1; 45; C; sounds//prize.wav	1	45	C	237999	670	2	n/a	n/a	670	n/a	hit	9
20083	5	Picture	1; 40; C; pictures//nontarget//trophy.jpg	1	40	C	239996	2667	7	23167	7	2580	next	miss	0
20083	5	Response	11	n/a	n/a	n/a	254112	16783	1	n/a	n/a	n/a	n/a	n/a	n/a
20083	7	Picture	trial_start	trial_start	n/a	n/a	268329	0	1	667	7	0	next	other	0
20083	7	Picture	2; 10; UN_0; pictures//target//hanger.jpg	2	10	UN_0	268996	667	7	24834	7	580	next	miss	0
20083	7	Sound	2; 0; UN_0; sounds//refuge.wav	2	0	UN_0	268999	670	2	n/a	n/a	670	n/a	miss	0
20083	8	Response	1	n/a	n/a	n/a	295211	1382	1	n/a	n/a	n/a	n/a	n/a	n/a
20083	9	Picture	trial_start	trial_start	n/a	n/a	298996	0	1	2667	7	0	next	other	0
20083	9	Sound	3; 25; UN_200; sounds//nature.wav	3	25	UN_200	299666	670	2	n/a	n/a	670	n/a	hit	17
20083	9	Picture	3; 20; UN_200; pictures//nontarget//horseshoe.png	3	20	UN_200	301663	2667	7	23500	7	2580	next	miss	0
20083	9	Response	11	n/a	n/a	n/a	320010	21014	1	n/a	n/a	n/a	n/a	n/a	n/a
20083	11	Picture	trial_start	trial_start	n/a	n/a	330330	0	1	667	7	0	next	other	0
20083	11	Picture	4; 50; No; pictures//target//mirror.jpeg	4	50	No	330996	667	7	26334	7	580	next	miss	0
20083	11	Sound	4; 0; No; sounds//empty.wav	4	0	No	331000	670	2	n/a	n/a	670	n/a	hit	21
20083	11	Response	21	n/a	n/a	n/a	344090	13760	1	n/a	n/a	n/a	n/a	n/a	n/a
20083	13	Picture	trial_start	trial_start	n/a	n/a	362497	0	1	667	7	0	next	other	0
20083	13	Picture	5; 10; UN_0; pictures//nontarget//tree.jpg	5	10	UN_0	363163	667	7	25833	7	580	next	miss	0
20083	13	Sound	5; 0; UN_0; sounds//opera.wav	5	0	UN_0	363167	671	2	n/a	n/a	670	n/a	hit	25
20083	13	Response	11	n/a	n/a	n/a	375749	13253	1	n/a	n/a	n/a	n/a	n/a	n/a
20083	15	Picture	trial_start	trial_start	n/a	n/a	394163	0	1	2667	7	0	next	other	0
20083	15	Sound	6; 45; C; sounds//melon.wav	6	45	C	394833	670	2	n/a	n/a	670	n/a	hit	29
20083	15	Picture	6; 40; C; pictures//target//cucumber.jpg	6	40	C	396830	2667	7	23834	7	2580	next	miss	0
20083	15	Response	21	n/a	n/a	n/a	411319	17156	1	n/a	n/a	n/a	n/a	n/a	n/a
20083	17	Picture	trial_start	trial_start	n/a	n/a	425830	0	1	667	7	0	next	other	0
20083	17	Picture	7; 10; UN_0; pictures//nontarget//broom.jpg	7	10	UN_0	426497	667	7	25000	7	580	next	miss	0
20083	17	Sound	7; 0; UN_0; sounds//zombie.wav	7	0	UN_0	426500	670	1	n/a	n/a	670	n/a	hit	33
20083	17	Response	11	n/a	n/a	n/a	439148	13318	1	n/a	n/a	n/a	n/a	n/a	n/a
20083	19	Picture	trial_start	trial_start	n/a	n/a	456664	0	1	667	7	0	next	other	0
20083	19	Picture	8; 30; P; pictures//nontarget//jeep.jpg	8	30	P	457331	667	7	24833	7	580	next	miss	0
20083	19	Sound	8; 0; P; sounds//genius.wav	8	0	P	457334	670	2	n/a	n/a	670	n/a	incorrect	37
20083	19	Response	2	n/a	n/a	n/a	479147	22484	1	n/a	n/a	n/a	n/a	n/a	n/a
20083	21	Picture	trial_start	trial_start	n/a	n/a	487331	0	1	667	7	0	next	other	0
20083	21	Picture	9; 50; No; pictures//nontarget//needle.jpeg	9	50	No	487997	667	7	26167	7	580	next	miss	0
20083	21	Sound	9; 0; No; sounds//empty.wav	9	0	No	488001	670	2	n/a	n/a	670	n/a	hit	41
20083	21	Response	11	n/a	n/a	n/a	502207	14876	1	n/a	n/a	n/a	n/a	n/a	n/a
20083	23	Picture	trial_start	trial_start	n/a	n/a	519331	0	1	2667	7	0	next	other	0
20083	23	Sound	10; 25; UN_200; sounds//intention.wav	10	25	UN_200	520001	670	2	n/a	n/a	670	n/a	hit	45
20083	23	Picture	10; 20; UN_200; pictures//target//toaster.jpg	10	20	UN_200	521998	2667	7	23833	7	2580	next	miss	0
20083	23	Response	21	n/a	n/a	n/a	531536	12205	1	n/a	n/a	n/a	n/a	n/a	n/a
20083	25	Picture	trial_start	trial_start	n/a	n/a	550998	0	1	667	7	0	next	other	0
20083	25	Picture	11; 30; P; pictures//target//feather.jpg	11	30	P	551665	667	7	24834	7	580	next	miss	0
20083	25	Sound	11; 0; P; sounds//fellowship.wav	11	0	P	551668	670	2	n/a	n/a	670	n/a	hit	49
20083	25	Response	21	n/a	n/a	n/a	562138	11140	2	n/a	n/a	n/a	n/a	n/a	n/a
20083	27	Picture	trial_start	trial_start	n/a	n/a	581665	0	1	667	7	0	next	other	0
20083	27	Picture	12; 50; No; pictures//nontarget//shoelace.jpeg	12	50	No	582331	667	7	24833	7	580	next	miss	0
20083	27	Sound	12; 0; No; sounds//empty.wav	12	0	No	582335	670	2	n/a	n/a	670	n/a	hit	53
20083	27	Response	11	n/a	n/a	n/a	595745	14080	1	n/a	n/a	n/a	n/a	n/a	n/a
20083	29	Picture	trial_start	trial_start	n/a	n/a	612332	0	1	667	7	0	next	other	0
20083	29	Picture	13; 10; UN_0; pictures//target//ear.jpeg	13	10	UN_0	612998	667	7	25000	7	580	next	miss	0
20083	29	Sound	13; 0; UN_0; sounds//host.wav	13	0	UN_0	613002	670	2	n/a	n/a	670	n/a	hit	57
20083	29	Response	21	n/a	n/a	n/a	622186	9855	1	n/a	n/a	n/a	n/a	n/a	n/a
20083	31	Picture	trial_start	trial_start	n/a	n/a	643165	0	1	2665	8	0	next	other	0
20083	31	Sound	14; 25; UN_200; sounds//missile.wav	14	25	UN_200	643835	670	2	n/a	n/a	670	n/a	hit	61
20083	31	Picture	14; 20; UN_200; pictures//target//projector.jpg	14	20	UN_200	645831	2665	8	23001	8	2580	next	miss	0
20083	31	Response	21	n/a	n/a	n/a	658505	15340	1	n/a	n/a	n/a	n/a	n/a	n/a
20083	33	Picture	trial_start	trial_start	n/a	n/a	673999	0	1	2667	7	0	next	other	0
