Subject	Trial	Event Type	Code	trial_boolean(num)	condition_code(num)	condition_label(str)	Time	TTime	Uncertainty...10	Duration	Uncertainty...12	ReqTime	ReqDur	Stim Type	Pair Index
20073	1	Picture	0;11;localize	0	11	localize	-6	0	1	270335	7	0	next	other	0
20073	1	Response	0	n/a	n/a	n/a	270083	270089	1	n/a	n/a	n/a	n/a	n/a	n/a
20073	2	Picture	0;111;blockstart	0	111	blockstart	270329	0	7	167	7	0	next	other	0
20073	3	Picture	block_tar_pic	block_tar_pic	n/a	n/a	270496	0	1	50667	1	0	next	other	0
20073	3	Sound	block_tar_sound	block_tar_sound	n/a	n/a	270526	30	282	n/a	n/a	0	n/a	other	0
20073	5	Picture	trial_start	trial_start	n/a	n/a	326330	0	1	667	7	0	next	other	0
20073	5	Picture	1; 30; P; pictures//nontarget//crutch.jpg	1	30	P	326996	667	7	24667	7	580	next	miss	0
20073	5	Sound	1; 0; P; sounds//crust.wav	1	0	P	327000	670	2	n/a	n/a	670	n/a	hit	9
20073	5	Response	21	n/a	n/a	n/a	341935	15605	1	n/a	n/a	n/a	n/a	n/a	n/a
20073	7	Picture	trial_start	trial_start	n/a	n/a	356830	0	1	2667	7	0	next	other	0
20073	7	Sound	2; 25; UN_200; sounds//stadium.wav	2	25	UN_200	357500	670	1	n/a	n/a	670	n/a	hit	13
20073	7	Picture	2; 20; UN_200; pictures//target//tail.jpeg	2	20	UN_200	359496	2667	7	22833	7	2580	next	miss	0
20073	7	Response	11	n/a	n/a	n/a	369474	12645	1	n/a	n/a	n/a	n/a	n/a	n/a
20073	9	Picture	trial_start	trial_start	n/a	n/a	387497	0	1	667	7	0	next	other	0
20073	9	Picture	3; 10; UN_0; pictures//nontarget//ashtray.png	3	10	UN_0	388163	667	7	24833	7	580	next	miss	0
20073	9	Sound	3; 0; UN_0; sounds//saint.wav	3	0	UN_0	388167	670	2	n/a	n/a	670	n/a	miss	0
20073	11	Picture	trial_start	trial_start	n/a	n/a	418164	0	1	667	7	0	next	other	0
20073	11	Picture	4; 30; P; pictures//nontarget//tray.jpeg	4	30	P	418830	667	7	25167	7	580	next	miss	0
20073	11	Sound	4; 0; P; sounds//tracer.wav	4	0	P	418834	670	2	n/a	n/a	670	n/a	hit	20
20073	11	Response	21	n/a	n/a	n/a	429073	10910	1	n/a	n/a	n/a	n/a	n/a	n/a
20073	13	Picture	trial_start	trial_start	n/a	n/a	449164	0	1	667	7	0	next	other	0
20073	13	Picture	5; 50; No; pictures//nontarget//ginger.jpeg	5	50	No	449830	667	7	25500	7	580	next	miss	0
20073	13	Sound	5; 0; No; sounds//empty.wav	5	0	No	449834	670	2	n/a	n/a	670	n/a	hit	24
20073	13	Response	21	n/a	n/a	n/a	460343	11179	1	n/a	n/a	n/a	n/a	n/a	n/a
20073	15	Picture	trial_start	trial_start	n/a	n/a	480497	0	1	2667	7	0	next	other	0
20073	15	Sound	6; 45; C; sounds//squid.wav	6	45	C	481167	670	2	n/a	n/a	670	n/a	incorrect	28
20073	15	Picture	6; 40; C; pictures//nontarget//Jellyfish.jpg	6	40	C	483164	2667	7	26167	7	2580	next	hit	29
20073	15	Response	1	n/a	n/a	n/a	498742	18245	1	n/a	n/a	n/a	n/a	n/a	n/a
20073	15	Response	21	n/a	n/a	n/a	502522	22025	1	n/a	n/a	n/a	n/a	n/a	n/a
20073	15	Response	2	n/a	n/a	n/a	505498	25001	3656	n/a	n/a	n/a	n/a	n/a	n/a
20073	16	Response	2	n/a	n/a	n/a	510733	1402	1	n/a	n/a	n/a	n/a	n/a	n/a
20073	17	Picture	trial_start	trial_start	n/a	n/a	514498	0	1	667	7	0	next	other	0
20073	17	Picture	7; 50; No; pictures//target//nail.jpeg	7	50	No	515164	667	7	25667	7	580	next	miss	0
20073	17	Sound	7; 0; No; sounds//empty.wav	7	0	No	515168	670	2	n/a	n/a	670	n/a	hit	35
20073	17	Response	11	n/a	n/a	n/a	526611	12114	1	n/a	n/a	n/a	n/a	n/a	n/a
20073	19	Picture	trial_start	trial_start	n/a	n/a	545998	0	1	667	7	0	next	other	0
20073	19	Picture	8; 10; UN_0; pictures//target//pencil.jpg	8	10	UN_0	546664	667	7	24833	7	580	next	miss	0
20073	19	Sound	8; 0; UN_0; sounds//caution.wav	8	0	UN_0	546668	670	2	n/a	n/a	670	n/a	hit	39
20073	19	Response	11	n/a	n/a	n/a	558462	12464	1	n/a	n/a	n/a	n/a	n/a	n/a
20073	21	Picture	trial_start	trial_start	n/a	n/a	576665	0	1	2667	7	0	next	other	0
20073	21	Sound	9; 25; UN_200; sounds//outcome.wav	9	25	UN_200	577335	670	2	n/a	n/a	670	n/a	hit	43
20073	21	Picture	9; 20; UN_200; pictures//nontarget//earring.png	9	20	UN_200	579331	2667	7	24000	7	2580	next	miss	0
20073	21	Response	21	n/a	n/a	n/a	596250	19585	1	n/a	n/a	n/a	n/a	n/a	n/a
20073	23	Picture	trial_start	trial_start	n/a	n/a	608498	0	1	2667	7	0	next	other	0
20073	23	Sound	10; 45; C; sounds//ribbon.wav	10	45	C	609168	670	1	n/a	n/a	670	n/a	hit	47
20073	23	Picture	10; 40; C; pictures//target//medal.jpg	10	40	C	611165	2667	7	22834	7	2580	next	miss	0
20073	23	Response	11	n/a	n/a	n/a	620070	11572	1	n/a	n/a	n/a	n/a	n/a	n/a
20073	25	Picture	trial_start	trial_start	n/a	n/a	639165	0	1	667	7	0	next	other	0
20073	25	Picture	11; 30; P; pictures//target//tunnel.jpg	11	30	P	639832	667	7	26000	7	580	next	miss	0
20073	25	Sound	11; 0; P; sounds//touch.wav	11	0	P	639835	670	2	n/a	n/a	670	n/a	hit	51
20073	25	Response	11	n/a	n/a	n/a	650438	11273	1	n/a	n/a	n/a	n/a	n/a	n/a
20073	27	Picture	trial_start	trial_start	n/a	n/a	670999	0	1	2667	7	0	next	other	0
20073	27	Sound	12; 25; UN_200; sounds//quality.wav	12	25	UN_200	671669	670	2	n/a	n/a	670	n/a	hit	55
20073	27	Picture	12; 20; UN_200; pictures//nontarget//Sheep.jpg	12	20	UN_200	673665	2667	7	25500	7	2580	next	miss	0
20073	27	Response	21	n/a	n/a	n/a	691887	20888	1	n/a	n/a	n/a	n/a	n/a	n/a
20073	29	Picture	trial_start	trial_start	n/a	n/a	704332	0	1	667	7	0	next	other	0
