Subject	Trial	Event Type	Code	trial_boolean(num)	condition_code(num)	condition_label(str)	Time	TTime	Uncertainty...10	Duration	Uncertainty...12	ReqTime	ReqDur	Stim Type	Pair Index
20028	1	Picture	0;11;localize	0	11	localize	161	0	1	317836	7	0	next	other	0
20028	1	Response	0	n/a	n/a	n/a	317673	317513	1	n/a	n/a	n/a	n/a	n/a	n/a
20028	2	Picture	0;111;blockstart	0	111	blockstart	317996	0	7	167	7	0	next	other	0
20028	3	Picture	block_tar_pic	block_tar_pic	n/a	n/a	318163	0	1	50667	1	0	next	other	0
20028	3	Sound	block_tar_sound	block_tar_sound	n/a	n/a	318193	30	489	n/a	n/a	0	n/a	other	0
20028	5	Picture	trial_start	trial_start	n/a	n/a	373997	0	1	2667	7	0	next	other	0
20028	5	Sound	1; 25; UN_200; sounds//missile.wav	1	25	UN_200	374667	670	3	n/a	n/a	670	n/a	hit	9
20028	5	Picture	1; 20; UN_200; pictures//target//projector.jpg	1	20	UN_200	376663	2667	7	23000	7	2580	next	miss	0
20028	5	Response	11	n/a	n/a	n/a	394530	20534	1	n/a	n/a	n/a	n/a	n/a	n/a
20028	7	Picture	trial_start	trial_start	n/a	n/a	404830	0	1	2667	7	0	next	other	0
20028	7	Sound	2; 45; C; sounds//queen.wav	2	45	C	405500	670	2	n/a	n/a	670	n/a	hit	13
20028	7	Picture	2; 40; C; pictures//nontarget//king.jpg	2	40	C	407497	2667	7	22833	7	2580	next	miss	0
20028	7	Response	21	n/a	n/a	n/a	417821	12991	2	n/a	n/a	n/a	n/a	n/a	n/a
20028	9	Picture	trial_start	trial_start	n/a	n/a	435497	0	1	667	7	0	next	other	0
20028	9	Picture	3; 50; No; pictures//target//diaper.jpeg	3	50	No	436164	667	7	25000	7	580	next	miss	0
20028	9	Sound	3; 0; No; sounds//empty.wav	3	0	No	436167	670	2	n/a	n/a	670	n/a	hit	17
20028	9	Response	11	n/a	n/a	n/a	445840	10343	2	n/a	n/a	n/a	n/a	n/a	n/a
20028	11	Picture	trial_start	trial_start	n/a	n/a	466331	0	1	667	7	0	next	other	0
20028	11	Picture	4; 30; P; pictures//nontarget//tornado.jpg	4	30	P	466997	667	7	25834	7	580	next	miss	0
20028	11	Sound	4; 0; P; sounds//torrent.wav	4	0	P	467001	671	2	n/a	n/a	670	n/a	hit	21
20028	11	Response	21	n/a	n/a	n/a	477298	10967	1	n/a	n/a	n/a	n/a	n/a	n/a
20028	13	Picture	trial_start	trial_start	n/a	n/a	497997	0	1	667	7	0	next	other	0
20028	13	Picture	5; 30; P; pictures//target//feather.jpg	5	30	P	498664	667	7	24834	7	580	next	miss	0
20028	13	Sound	5; 0; P; sounds//fellowship.wav	5	0	P	498668	670	2	n/a	n/a	670	n/a	hit	25
20028	13	Response	11	n/a	n/a	n/a	506769	8771	1	n/a	n/a	n/a	n/a	n/a	n/a
20028	15	Picture	trial_start	trial_start	n/a	n/a	528664	0	1	2667	7	0	next	other	0
20028	15	Sound	6; 25; UN_200; sounds//nature.wav	6	25	UN_200	529334	670	1	n/a	n/a	670	n/a	hit	29
20028	15	Picture	6; 20; UN_200; pictures//nontarget//horseshoe.png	6	20	UN_200	531331	2667	7	22834	7	2580	next	miss	0
20028	15	Response	21	n/a	n/a	n/a	546689	18024	2	n/a	n/a	n/a	n/a	n/a	n/a
20028	17	Picture	trial_start	trial_start	n/a	n/a	559331	0	1	2667	7	0	next	other	0
20028	17	Sound	7; 45; C; sounds//scorpion.wav	7	45	C	560001	670	2	n/a	n/a	670	n/a	hit	33
20028	17	Picture	7; 40; C; pictures//target//spider.jpg	7	40	C	561998	2667	7	23000	7	2580	next	miss	0
20028	17	Response	11	n/a	n/a	n/a	571937	12605	1	n/a	n/a	n/a	n/a	n/a	n/a
20028	19	Picture	trial_start	trial_start	n/a	n/a	590165	0	1	667	7	0	next	other	0
20028	19	Picture	8; 50; No; pictures//nontarget//needle.jpeg	8	50	No	590832	667	7	26167	7	580	next	miss	0
20028	19	Sound	8; 0; No; sounds//empty.wav	8	0	No	590835	670	2	n/a	n/a	670	n/a	hit	37
20028	19	Response	21	n/a	n/a	n/a	608617	18452	1	n/a	n/a	n/a	n/a	n/a	n/a
20028	21	Picture	trial_start	trial_start	n/a	n/a	622165	0	1	667	7	0	next	other	0
20028	21	Picture	9; 30; P; pictures//target//Blender.jpg	9	30	P	622832	667	7	26000	7	580	next	miss	0
20028	21	Sound	9; 0; P; sounds//blemish.wav	9	0	P	622835	670	2	n/a	n/a	670	n/a	hit	41
20028	21	Response	11	n/a	n/a	n/a	638626	16461	1	n/a	n/a	n/a	n/a	n/a	n/a
20028	23	Picture	trial_start	trial_start	n/a	n/a	653999	0	1	2667	7	0	next	other	0
20028	23	Sound	10; 45; C; sounds//prize.wav	10	45	C	654669	670	2	n/a	n/a	670	n/a	hit	45
20028	23	Picture	10; 40; C; pictures//nontarget//trophy.jpg	10	40	C	656665	2667	7	24333	7	2580	next	miss	0
20028	23	Response	21	n/a	n/a	n/a	666446	12447	1	n/a	n/a	n/a	n/a	n/a	n/a
20028	25	Picture	trial_start	trial_start	n/a	n/a	686166	0	1	2667	7	0	next	other	0
20028	25	Sound	11; 25; UN_200; sounds//meat.wav	11	25	UN_200	686836	670	2	n/a	n/a	670	n/a	hit	49
20028	25	Picture	11; 20; UN_200; pictures//nontarget//strawberry.jpg	11	20	UN_200	688832	2667	7	23667	7	2580	next	miss	0
20028	25	Response	21	n/a	n/a	n/a	698824	12659	1	n/a	n/a	n/a	n/a	n/a	n/a
20028	27	Picture	trial_start	trial_start	n/a	n/a	717666	0	1	667	7	0	next	other	0
20028	27	Picture	12; 50; No; pictures//target//mirror.jpeg	12	50	No	718332	667	7	24834	7	580	next	miss	0
20028	27	Sound	12; 0; No; sounds//empty.wav	12	0	No	718336	670	2	n/a	n/a	670	n/a	hit	53
20028	27	Response	11	n/a	n/a	n/a	728095	10430	1	n/a	n/a	n/a	n/a	n/a	n/a
20028	29	Picture	trial_start	trial_start	n/a	n/a	748333	0	1	667	7	0	next	other	0
20028	29	Picture	13; 50; No; pictures//nontarget//veil.jpeg	13	50	No	748999	667	7	25167	7	580	next	miss	0
20028	29	Sound	13; 0; No; sounds//empty.wav	13	0	No	749003	670	2	n/a	n/a	670	n/a	hit	57
20028	29	Response	21	n/a	n/a	n/a	768633	20300	1	n/a	n/a	n/a	n/a	n/a	n/a
20028	31	Picture	trial_start	trial_start	n/a	n/a	779333	0	1	667	7	0	next	other	0
20028	31	Picture	14; 30; P; pictures//nontarget//jeep.jpg	14	30	P	780000	667	7	26000	7	580	next	miss	0
20028	31	Sound	14; 0; P; sounds//genius.wav	14	0	P	780003	670	2	n/a	n/a	670	n/a	hit	61
20028	31	Response	21	n/a	n/a	n/a	790703	11370	2	n/a	n/a	n/a	n/a	n/a	n/a
20028	33	Picture	trial_start	trial_start	n/a	n/a	811166	0	1	667	7	0	next	other	0
20028	33	Picture	15; 30; P; pictures//nontarget//pipe.jpg	15	30	P	811833	667	7	25000	7	580	next	miss	0
20028	33	Sound	15; 0; P; sounds//pint.wav	15	0	P	811836	670	1	n/a	n/a	670	n/a	hit	65
20028	33	Response	21	n/a	n/a	n/a	833933	22767	1	n/a	n/a	n/a	n/a	n/a	n/a
20028	35	Picture	trial_start	trial_start	n/a	n/a	842000	0	1	2667	7	0	next	other	0
20028	35	Sound	16; 25; UN_200; sounds//magnet.wav	16	25	UN_200	842670	670	2	n/a	n/a	670	n/a	hit	69
20028	35	Picture	16; 20; UN_200; pictures//target//escalator.jpg	16	20	UN_200	844667	2667	7	23000	7	2580	next	miss	0
20028	35	Response	11	n/a	n/a	n/a	859282	17282	1	n/a	n/a	n/a	n/a	n/a	n/a
20028	37	Picture	trial_start	trial_start	n/a	n/a	872834	0	1	2666	8	0	next	other	0
20028	37	Sound	17; 25; UN_200; sounds//clothes.wav	17	25	UN_200	873504	670	2	n/a	n/a	670	n/a	hit	73
20028	37	Picture	17; 20; UN_200; pictures//nontarget//dragonfly.png	17	20	UN_200	875500	2666	8	22834	8	2580	next	miss	0
20028	37	Response	21	n/a	n/a	n/a	890621	17787	1	n/a	n/a	n/a	n/a	n/a	n/a
20028	39	Picture	trial_start	trial_start	n/a	n/a	903500	0	1	2667	7	0	next	other	0
20028	39	Sound	18; 45; C; sounds//squirrel.wav	18	45	C	904170	670	2	n/a	n/a	670	n/a	hit	77
20028	39	Picture	18; 40; C; pictures//target//beaver.jpg	18	40	C	906167	2667	7	23000	7	2580	next	miss	0
20028	39	Response	11	n/a	n/a	n/a	917701	14201	1	n/a	n/a	n/a	n/a	n/a	n/a
20028	41	Picture	trial_start	trial_start	n/a	n/a	934334	0	1	667	7	0	next	other	0
20028	41	Picture	19; 10; UN_0; pictures//nontarget//eyelash.jpg	19	10	UN_0	935001	667	7	24834	7	580	next	miss	0
