Subject	Trial	Event Type	Code	trial_boolean(num)	condition_code(num)	condition_label(str)	Time	TTime	Uncertainty...10	Duration	Uncertainty...12	ReqTime	ReqDur	Stim Type	Pair Index
20192	1	Picture	0;11;localize	0	11	localize	161	0	1	212167	7	0	next	other	0
20192	1	Response	0	n/a	n/a	n/a	212117	211956	1	n/a	n/a	n/a	n/a	n/a	n/a
20192	2	Picture	0;111;blockstart	0	111	blockstart	212328	0	7	167	7	0	next	other	0
20192	3	Picture	block_tar_pic	block_tar_pic	n/a	n/a	212495	0	1	50833	1	0	next	other	0
20192	3	Sound	block_tar_sound	block_tar_sound	n/a	n/a	212518	23	204	n/a	n/a	0	n/a	other	0
20192	5	Picture	trial_start	trial_start	n/a	n/a	268495	0	1	667	7	0	next	other	0
20192	5	Picture	1; 30; P; pictures//nontarget//crutch.jpg	1	30	P	269162	667	7	24833	7	580	next	miss	0
20192	5	Sound	1; 0; P; sounds//crust.wav	1	0	P	269165	670	2	n/a	n/a	670	n/a	hit	9
20192	5	Response	21	n/a	n/a	n/a	280055	11560	1	n/a	n/a	n/a	n/a	n/a	n/a
20192	7	Picture	trial_start	trial_start	n/a	n/a	299162	0	1	2667	7	0	next	other	0
20192	7	Sound	2; 25; UN_200; sounds//stadium.wav	2	25	UN_200	299832	670	2	n/a	n/a	670	n/a	hit	13
20192	7	Picture	2; 20; UN_200; pictures//target//tail.jpeg	2	20	UN_200	301828	2667	7	23000	7	2580	next	miss	0
20192	7	Response	11	n/a	n/a	n/a	312453	13291	1	n/a	n/a	n/a	n/a	n/a	n/a
20192	9	Picture	trial_start	trial_start	n/a	n/a	329995	0	1	667	7	0	next	other	0
20192	9	Picture	3; 10; UN_0; pictures//nontarget//ashtray.png	3	10	UN_0	330662	667	7	24833	7	580	next	miss	0
20192	9	Sound	3; 0; UN_0; sounds//saint.wav	3	0	UN_0	330666	670	2	n/a	n/a	670	n/a	hit	17
20192	9	Response	21	n/a	n/a	n/a	345722	15727	1	n/a	n/a	n/a	n/a	n/a	n/a
20192	11	Picture	trial_start	trial_start	n/a	n/a	360662	0	1	667	7	0	next	other	0
20192	11	Picture	4; 30; P; pictures//nontarget//tray.jpeg	4	30	P	361329	667	7	25333	7	580	next	miss	0
20192	11	Sound	4; 0; P; sounds//tracer.wav	4	0	P	361332	670	2	n/a	n/a	670	n/a	hit	21
20192	11	Response	21	n/a	n/a	n/a	375481	14819	1	n/a	n/a	n/a	n/a	n/a	n/a
20192	13	Picture	trial_start	trial_start	n/a	n/a	391829	0	1	667	7	0	next	other	0
20192	13	Picture	5; 50; No; pictures//nontarget//ginger.jpeg	5	50	No	392496	667	7	25500	7	580	next	miss	0
20192	13	Sound	5; 0; No; sounds//empty.wav	5	0	No	392499	670	2	n/a	n/a	670	n/a	hit	25
20192	13	Response	21	n/a	n/a	n/a	410482	18653	1	n/a	n/a	n/a	n/a	n/a	n/a
20192	15	Picture	trial_start	trial_start	n/a	n/a	423162	0	1	2667	7	0	next	other	0
20192	15	Sound	6; 45; C; sounds//squid.wav	6	45	C	423832	670	1	n/a	n/a	670	n/a	hit	29
20192	15	Picture	6; 40; C; pictures//nontarget//Jellyfish.jpg	6	40	C	425829	2667	7	26333	7	2580	next	miss	0
20192	15	Response	21	n/a	n/a	n/a	443758	20596	3	n/a	n/a	n/a	n/a	n/a	n/a
20192	17	Picture	trial_start	trial_start	n/a	n/a	457329	0	1	667	7	0	next	other	0
20192	17	Picture	7; 50; No; pictures//target//nail.jpeg	7	50	No	457996	667	7	25667	7	580	next	miss	0
20192	17	Sound	7; 0; No; sounds//empty.wav	7	0	No	457999	670	2	n/a	n/a	670	n/a	hit	33
20192	17	Response	11	n/a	n/a	n/a	466218	8889	1	n/a	n/a	n/a	n/a	n/a	n/a
