Subject	Trial	Event Type	Code	trial_boolean(num)	condition_code(num)	condition_label(str)	Time	TTime	Uncertainty...10	Duration	Uncertainty...12	ReqTime	ReqDur	Stim Type	Pair Index
20115	1	Picture	0;11;localize	0	11	localize	161	0	1	1082508	7	0	next	other	0
20115	1	Response	0	n/a	n/a	n/a	1082504	1082344	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	2	Picture	0;111;blockstart	0	111	blockstart	1082668	0	7	167	7	0	next	other	0
20115	3	Picture	block_tar_pic	block_tar_pic	n/a	n/a	1082835	0	1	51334	1	0	next	other	0
20115	3	Sound	block_tar_sound	block_tar_sound	n/a	n/a	1082867	33	556	n/a	n/a	0	n/a	other	0
20115	5	Picture	trial_start	trial_start	n/a	n/a	1139335	0	1	667	7	0	next	other	0
20115	5	Picture	1; 10; UN_0; pictures//target//lipstick.jpg	1	10	UN_0	1140002	667	7	24833	7	580	next	miss	0
20115	5	Sound	1; 0; UN_0; sounds//prison.wav	1	0	UN_0	1140005	670	2	n/a	n/a	670	n/a	hit	9
20115	5	Response	21	n/a	n/a	n/a	1158188	18852	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	7	Picture	trial_start	trial_start	n/a	n/a	1170002	0	1	667	7	0	next	other	0
20115	7	Picture	2; 30; P; pictures//nontarget//jam.png	2	30	P	1170669	667	7	24834	7	580	next	miss	0
20115	7	Sound	2; 0; P; sounds//jazz.wav	2	0	P	1170672	670	2	n/a	n/a	670	n/a	hit	13
20115	7	Response	11	n/a	n/a	n/a	1184816	14814	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	9	Picture	trial_start	trial_start	n/a	n/a	1200669	0	1	2667	7	0	next	other	0
20115	9	Sound	3; 25; UN_200; sounds//city.wav	3	25	UN_200	1201339	670	2	n/a	n/a	670	n/a	hit	17
20115	9	Picture	3; 20; UN_200; pictures//target//neck.png	3	20	UN_200	1203336	2667	7	25667	7	2580	next	miss	0
20115	9	Response	21	n/a	n/a	n/a	1211047	10378	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	11	Picture	trial_start	trial_start	n/a	n/a	1234169	0	1	667	7	0	next	other	0
20115	11	Picture	4; 50; No; pictures//target//sink.jpeg	4	50	No	1234836	667	7	24834	7	580	next	miss	0
20115	11	Sound	4; 0; No; sounds//empty.wav	4	0	No	1234839	670	1	n/a	n/a	670	n/a	incorrect	21
20115	11	Response	1	n/a	n/a	n/a	1248276	14107	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	13	Picture	trial_start	trial_start	n/a	n/a	1264836	0	1	667	7	0	next	other	0
20115	13	Picture	5; 10; UN_0; pictures//nontarget//cave.jpg	5	10	UN_0	1265503	667	7	24834	7	580	next	miss	0
20115	13	Sound	5; 0; UN_0; sounds//tax.wav	5	0	UN_0	1265506	670	2	n/a	n/a	670	n/a	hit	25
20115	13	Response	11	n/a	n/a	n/a	1278956	14120	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	15	Picture	trial_start	trial_start	n/a	n/a	1295503	0	1	667	7	0	next	other	0
20115	15	Picture	6; 30; P; pictures//nontarget//panda.jpg	6	30	P	1296170	667	7	24834	7	580	next	miss	0
20115	15	Sound	6; 0; P; sounds//panel.wav	6	0	P	1296173	670	2	n/a	n/a	670	n/a	hit	29
20115	15	Response	11	n/a	n/a	n/a	1309936	14433	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	17	Picture	trial_start	trial_start	n/a	n/a	1326170	0	1	667	7	0	next	other	0
20115	17	Picture	7; 30; P; pictures//target//chalk.jpg	7	30	P	1326837	667	7	24834	7	580	next	miss	0
20115	17	Sound	7; 0; P; sounds//choice.wav	7	0	P	1326840	670	2	n/a	n/a	670	n/a	hit	33
20115	17	Response	21	n/a	n/a	n/a	1337734	11564	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	19	Picture	trial_start	trial_start	n/a	n/a	1356837	0	1	667	7	0	next	other	0
20115	19	Picture	8; 50; No; pictures//nontarget//vest.jpeg	8	50	No	1357504	667	7	24834	7	580	next	miss	0
20115	19	Sound	8; 0; No; sounds//empty.wav	8	0	No	1357507	670	2	n/a	n/a	670	n/a	hit	37
20115	19	Response	11	n/a	n/a	n/a	1377416	20579	2	n/a	n/a	n/a	n/a	n/a	n/a
20115	21	Picture	trial_start	trial_start	n/a	n/a	1387504	0	1	2667	7	0	next	other	0
20115	21	Sound	9; 45; C; sounds//pear.wav	9	45	C	1388174	670	2	n/a	n/a	670	n/a	hit	41
20115	21	Picture	9; 40; C; pictures//nontarget//avocado.jpg	9	40	C	1390170	2667	7	24000	7	2580	next	miss	0
20115	21	Response	11	n/a	n/a	n/a	1407262	19759	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	23	Picture	trial_start	trial_start	n/a	n/a	1419337	0	1	667	7	0	next	other	0
20115	23	Picture	10; 30; P; pictures//target//duck.jpg	10	30	P	1420004	667	7	24833	7	580	next	miss	0
20115	23	Sound	10; 0; P; sounds//duchess.wav	10	0	P	1420007	670	2	n/a	n/a	670	n/a	hit	45
20115	23	Response	21	n/a	n/a	n/a	1428502	9165	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	25	Picture	trial_start	trial_start	n/a	n/a	1450004	0	1	2667	7	0	next	other	0
20115	25	Sound	11; 25; UN_200; sounds//memory.wav	11	25	UN_200	1450675	671	2	n/a	n/a	670	n/a	hit	49
20115	25	Picture	11; 20; UN_200; pictures//nontarget//lasangna.jpg	11	20	UN_200	1452671	2667	7	25834	7	2580	next	miss	0
20115	25	Response	11	n/a	n/a	n/a	1467813	17809	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	27	Picture	trial_start	trial_start	n/a	n/a	1483671	0	1	667	7	0	next	other	0
20115	27	Picture	12; 50; No; pictures//nontarget//film.jpeg	12	50	No	1484338	667	7	25167	7	580	next	miss	0
20115	27	Sound	12; 0; No; sounds//empty.wav	12	0	No	1484341	670	2	n/a	n/a	670	n/a	hit	53
20115	27	Response	11	n/a	n/a	n/a	1502922	19251	1	n/a	n/a	n/a	n/a	n/a	n/a
20115	29	Picture	trial_start	trial_start	n/a	n/a	1514671	0	1	667	7	0	next	other	0
20115	29	Picture	13; 10; UN_0; pictures//target//milk.jpg	13	10	UN_0	1515338	667	7	25333	7	580	next	miss	0
20115	29	Sound	13; 0; UN_0; sounds//budget.wav	13	0	UN_0	1515341	670	2	n/a	n/a	670	n/a	miss	0
