Subject	Trial	Event Type	Code	trial_boolean(num)	condition_code(num)	condition_label(str)	Time	TTime	Uncertainty...10	Duration	Uncertainty...12	ReqTime	ReqDur	Stim Type	Pair Index
20098	1	Picture	0;11;localize	0	11	localize	161	0	1	224502	7	0	next	other	0
20098	1	Response	0	n/a	n/a	n/a	224349	224189	1	n/a	n/a	n/a	n/a	n/a	n/a
20098	2	Picture	0;111;blockstart	0	111	blockstart	224662	0	7	167	7	0	next	other	0
20098	3	Picture	block_tar_pic	block_tar_pic	n/a	n/a	224829	0	1	51334	1	0	next	other	0
20098	3	Sound	block_tar_sound	block_tar_sound	n/a	n/a	224861	33	515	n/a	n/a	0	n/a	other	0
20098	5	Picture	trial_start	trial_start	n/a	n/a	281329	0	1	667	7	0	next	other	0
20098	5	Picture	1; 10; UN_0; pictures//target//lipstick.jpg	1	10	UN_0	281996	667	7	25833	7	580	next	miss	0
20098	5	Sound	1; 0; UN_0; sounds//prison.wav	1	0	UN_0	281999	670	2	n/a	n/a	670	n/a	hit	9
20098	5	Response	11	n/a	n/a	n/a	295102	13773	1	n/a	n/a	n/a	n/a	n/a	n/a
20098	7	Picture	trial_start	trial_start	n/a	n/a	312996	0	1	667	7	0	next	other	0
20098	7	Picture	2; 30; P; pictures//nontarget//Bow.jpg	2	30	P	313663	667	7	27833	7	580	next	miss	0
20098	7	Sound	2; 0; P; sounds//bone.wav	2	0	P	313666	670	2	n/a	n/a	670	n/a	hit	13
20098	7	Response	21	n/a	n/a	n/a	333272	20276	2	n/a	n/a	n/a	n/a	n/a	n/a
20098	9	Picture	trial_start	trial_start	n/a	n/a	346663	0	1	667	7	0	next	other	0
20098	9	Picture	3; 50; No; pictures//target//sink.jpeg	3	50	No	347330	667	7	24834	7	580	next	miss	0
20098	9	Sound	3; 0; No; sounds//empty.wav	3	0	No	347333	670	2	n/a	n/a	670	n/a	hit	17
20098	9	Response	11	n/a	n/a	n/a	360772	14109	1	n/a	n/a	n/a	n/a	n/a	n/a
20098	11	Picture	trial_start	trial_start	n/a	n/a	377330	0	1	2667	7	0	next	other	0
20098	11	Sound	4; 25; UN_200; sounds//memory.wav	4	25	UN_200	378000	670	2	n/a	n/a	670	n/a	hit	21
20098	11	Picture	4; 20; UN_200; pictures//nontarget//lasangna.jpg	4	20	UN_200	379997	2667	7	24000	7	2580	next	miss	0
20098	11	Response	21	n/a	n/a	n/a	391110	13780	1	n/a	n/a	n/a	n/a	n/a	n/a
20098	13	Picture	trial_start	trial_start	n/a	n/a	409163	0	1	2667	7	0	next	other	0
20098	13	Sound	5; 45; C; sounds//pie.wav	5	45	C	409833	670	1	n/a	n/a	670	n/a	hit	25
20098	13	Picture	5; 40; C; pictures//target//cupcake.jpg	5	40	C	411830	2667	7	23167	7	2580	next	miss	0
20098	13	Response	11	n/a	n/a	n/a	424131	14967	1	n/a	n/a	n/a	n/a	n/a	n/a
20098	15	Picture	trial_start	trial_start	n/a	n/a	440164	0	1	667	7	0	next	other	0
20098	15	Picture	6; 10; UN_0; pictures//nontarget//monkey.jpeg	6	10	UN_0	440830	667	7	25834	7	580	next	miss	0
20098	15	Sound	6; 0; UN_0; sounds//seed.wav	6	0	UN_0	440835	671	2	n/a	n/a	670	n/a	hit	29
20098	15	Response	21	n/a	n/a	n/a	455879	15715	1	n/a	n/a	n/a	n/a	n/a	n/a
20098	17	Picture	trial_start	trial_start	n/a	n/a	471831	0	1	2667	7	0	next	other	0
20098	17	Sound	7; 45; C; sounds//pamphlet.wav	7	45	C	472501	670	1	n/a	n/a	670	n/a	hit	33
20098	17	Picture	7; 40; C; pictures//target//book.jpg	7	40	C	474497	2667	7	22833	7	2580	next	miss	0
20098	17	Response	11	n/a	n/a	n/a	484519	12688	1	n/a	n/a	n/a	n/a	n/a	n/a
20098	19	Picture	trial_start	trial_start	n/a	n/a	502497	0	1	667	7	0	next	other	0
20098	19	Picture	8; 30; P; pictures//target//chalk.jpg	8	30	P	503164	667	7	24833	7	580	next	miss	0
20098	19	Sound	8; 0; P; sounds//choice.wav	8	0	P	503167	670	2	n/a	n/a	670	n/a	hit	37
20098	19	Response	11	n/a	n/a	n/a	512029	9531	1	n/a	n/a	n/a	n/a	n/a	n/a
20098	21	Picture	trial_start	trial_start	n/a	n/a	533164	0	1	2667	7	0	next	other	0
20098	21	Sound	9; 25; UN_200; sounds//speed.wav	9	25	UN_200	533834	670	2	n/a	n/a	670	n/a	hit	41
20098	21	Picture	9; 20; UN_200; pictures//target//bank.jpg	9	20	UN_200	535831	2667	7	22834	7	2580	next	miss	0
20098	21	Response	11	n/a	n/a	n/a	547597	14433	1	n/a	n/a	n/a	n/a	n/a	n/a
20098	23	Picture	trial_start	trial_start	n/a	n/a	563831	0	1	2667	7	0	next	other	0
20098	23	Sound	10; 45; C; sounds//pear.wav	10	45	C	564501	670	2	n/a	n/a	670	n/a	hit	45
20098	23	Picture	10; 40; C; pictures//nontarget//avocado.jpg	10	40	C	566498	2667	7	23167	7	2580	next	miss	0
20098	23	Response	21	n/a	n/a	n/a	575407	11575	1	n/a	n/a	n/a	n/a	n/a	n/a
20098	25	Picture	trial_start	trial_start	n/a	n/a	594831	0	1	667	7	0	next	other	0
20098	25	Picture	11; 50; No; pictures//target//cake.jpeg	11	50	No	595498	667	7	24834	7	580	next	miss	0
20098	25	Sound	11; 0; No; sounds//empty.wav	11	0	No	595501	670	2	n/a	n/a	670	n/a	hit	49
20098	25	Response	11	n/a	n/a	n/a	608256	13424	1	n/a	n/a	n/a	n/a	n/a	n/a
20098	27	Picture	trial_start	trial_start	n/a	n/a	625498	0	1	667	7	0	next	other	0
20098	27	Picture	12; 30; P; pictures//nontarget//panda.jpg	12	30	P	626165	667	7	24834	7	580	next	miss	0
20098	27	Sound	12; 0; P; sounds//panel.wav	12	0	P	626168	670	2	n/a	n/a	670	n/a	hit	53
20098	27	Response	21	n/a	n/a	n/a	638586	13087	1	n/a	n/a	n/a	n/a	n/a	n/a
20098	29	Picture	trial_start	trial_start	n/a	n/a	656165	0	1	667	7	0	next	other	0
20098	29	Picture	13; 10; UN_0; pictures//target//ink.jpg	13	10	UN_0	656832	667	7	25000	7	580	next	miss	0
20098	29	Sound	13; 0; UN_0; sounds//needle.wav	13	0	UN_0	656835	670	2	n/a	n/a	670	n/a	hit	57
20098	29	Response	11	n/a	n/a	n/a	672805	16639	1	n/a	n/a	n/a	n/a	n/a	n/a
20098	31	Picture	trial_start	trial_start	n/a	n/a	686999	0	1	2667	7	0	next	other	0
20098	31	Sound	14; 45; C; sounds//bread.wav	14	45	C	687669	670	2	n/a	n/a	670	n/a	hit	61
20098	31	Picture	14; 40; C; pictures//nontarget//pizza.jpg	14	40	C	689665	2667	7	23167	7	2580	next	miss	0
20098	31	Response	21	n/a	n/a	n/a	703744	16745	1	n/a	n/a	n/a	n/a	n/a	n/a
